국가별,시점,디플레이터
독일,2002,92
독일,2003,93.2
독일,2004,94.2
독일,2005,94.6
독일,2006,95
독일,2007,96.7
독일,2008,97.6
독일,2009,99.4
독일,2010,100
독일,2011,101.1
독일,2012,102.6
독일,2013,104.6
독일,2014,106.6
독일,2015,108.5
독일,2016,110
독일,2017,111.5
독일,2018,113.3
독일,2019,115.8
독일,2020,117.6
그리스,2000,75
그리스,2001,77.6
그리스,2002,80.2
그리스,2003,83
그리스,2004,85.5
그리스,2005,87.4
그리스,2006,90.5
그리스,2007,93.6
그리스,2008,97.7
그리스,2009,100.2
그리스,2010,100
그리스,2011,101
그리스,2012,100.7
그리스,2013,98.7
그리스,2014,96.8
그리스,2015,96.5
그리스,2016,95.9
그리스,2017,96.3
그리스,2018,96.2
그리스,2019,96.4
그리스,2020,95
헝가리,2000,59.9
헝가리,2001,66.5
헝가리,2002,71.9
헝가리,2003,75.8
헝가리,2004,79.6
헝가리,2005,81.7
헝가리,2006,84.7
헝가리,2007,89.3
헝가리,2008,93.6
헝가리,2009,97.5
헝가리,2010,100
헝가리,2011,101.9
헝가리,2012,104.9
헝가리,2013,107.8
헝가리,2014,111.8
헝가리,2015,114.9
헝가리,2016,116.5
헝가리,2017,121.1
헝가리,2018,127
헝가리,2019,133
헝가리,2020,140.6
아이슬란드,2000,54.6
아이슬란드,2001,59.3
아이슬란드,2002,62.8
아이슬란드,2003,63.1
아이슬란드,2004,64.8
아이슬란드,2005,66.8
아이슬란드,2006,72.5
아이슬란드,2007,75.7
아이슬란드,2008,84.8
아이슬란드,2009,94
아이슬란드,2010,100
아이슬란드,2011,103.1
아이슬란드,2012,106.6
아이슬란드,2013,108.9
아이슬란드,2014,113.4
아이슬란드,2015,120.3
아이슬란드,2016,123
아이슬란드,2017,124.2
아이슬란드,2018,127.5
아이슬란드,2019,133.2
아이슬란드,2020,137.8
아일랜드,2000,85.6
아일랜드,2001,91.5
아일랜드,2002,96.3
아일랜드,2003,100
아일랜드,2004,100.5
아일랜드,2005,103.6
아일랜드,2006,107.2
아일랜드,2007,108.5
아일랜드,2008,108.1
아일랜드,2009,103.1
아일랜드,2010,100
아일랜드,2011,101.3
아일랜드,2012,103.7
아일랜드,2013,105.1
아일랜드,2014,105.1
아일랜드,2015,113.1
아일랜드,2016,114.2
아일랜드,2017,116.1
아일랜드,2018,116.4
아일랜드,2019,120.1
아일랜드,2020,119.5
이탈리아,2000,79.5
이탈리아,2001,81.9
이탈리아,2002,84.6
이탈리아,2003,87.2
이탈리아,2004,89.6
이탈리아,2005,91.4
이탈리아,2006,93.3
이탈리아,2007,95.6
이탈리아,2008,97.9
이탈리아,2009,99.6
이탈리아,2010,100
이탈리아,2011,101.6
이탈리아,2012,103.2
이탈리아,2013,104.4
이탈리아,2014,105.3
이탈리아,2015,106.3
이탈리아,2016,107.5
이탈리아,2017,108.3
이탈리아,2018,109.4
이탈리아,2019,110.3
이탈리아,2020,111.6
라트비아,2000,55.1
라트비아,2001,56.4
라트비아,2002,59.2
라트비아,2003,62.2
라트비아,2004,66.4
라트비아,2005,73.8
라트비아,2006,83
라트비아,2007,99.7
라트비아,2008,111.2
라트비아,2009,100.4
라트비아,2010,100
라트비아,2011,106.4
라트비아,2012,110.2
라트비아,2013,112
라트비아,2014,114.2
라트비아,2015,114.2
라트비아,2016,115.1
라트비아,2017,118.6
라트비아,2018,123.2
라트비아,2019,126
라트비아,2020,126.1
리투아니아,2000,72.9
리투아니아,2001,72.7
리투아니아,2002,72.9
리투아니아,2003,72.3
리투아니아,2004,74.2
리투아니아,2005,79.3
리투아니아,2006,84.7
리투아니아,2007,91.9
리투아니아,2008,100.9
리투아니아,2009,97.5
리투아니아,2010,100
리투아니아,2011,105.3
리투아니아,2012,108.2
리투아니아,2013,109.6
리투아니아,2014,110.5
리투아니아,2015,110.6
리투아니아,2016,112.3
리투아니아,2017,117.1
리투아니아,2018,121.2
리투아니아,2019,124.7
리투아니아,2020,126.1
룩셈부르크,2000,75
룩셈부르크,2001,75.3
룩셈부르크,2002,76.6
룩셈부르크,2003,78.6
룩셈부르크,2004,80.9
룩셈부르크,2005,84.3
룩셈부르크,2006,90.3
룩셈부르크,2007,91.6
룩셈부르크,2008,95.2
룩셈부르크,2009,96.5
룩셈부르크,2010,100
룩셈부르크,2011,104.8
룩셈부르크,2012,107.5
룩셈부르크,2013,109.3
룩셈부르크,2014,112.3
룩셈부르크,2015,112.5
룩셈부르크,2016,113.3
룩셈부르크,2017,115.3
룩셈부르크,2018,118.2
룩셈부르크,2019,122.2
룩셈부르크,2020,125
네덜란드,2000,81
네덜란드,2001,84.3
네덜란드,2002,87.5
네덜란드,2003,89.4
네덜란드,2004,90.5
네덜란드,2005,92.3
네덜란드,2006,94.7
네덜란드,2007,96.6
네덜란드,2008,98.9
네덜란드,2009,99.1
네덜란드,2010,100
네덜란드,2011,100.2
네덜란드,2012,101.6
네덜란드,2013,102.9
네덜란드,2014,103.2
네덜란드,2015,104
네덜란드,2016,104.5
네덜란드,2017,105.8
네덜란드,2018,108.4
네덜란드,2019,111.7
네덜란드,2020,114.2
노르웨이,2000,68
노르웨이,2001,69.1
노르웨이,2002,68
노르웨이,2003,70
노르웨이,2004,74
노르웨이,2005,80.5
노르웨이,2006,87.6
노르웨이,2007,90.2
노르웨이,2008,99.6
노르웨이,2009,94.4
노르웨이,2010,100
