국가별,시점,인당_국민총소득,GDP_성장률,디플레이터,수출,수입,무역의존도_수출,무역의존도_수입,외환보유액,부채비율,국민부담률,평균근로자세금,경제활동참가율 (%),고용률,실업률
터키,2001,3065,-5.8,33.3,31331,41454,15.53,20.55,19871,,25.4,43.6,49.8,,8.4
터키,2002,3618,6.4,45.9,35974,51551,14.97,21.46,28101,,23.8,42.5,49.6,,10.4
터키,2003,4676,5.8,56.6,47125,69453,14.98,22.08,35549,,25,42.2,48.3,,10.5
터키,2004,6018,9.8,63.6,63196,97779,15.46,23.91,37252,,23.1,42.8,46.3,,10.8
터키,2005,7377,9,68.1,73715,117115,14.56,23.13,52491,,23.1,42.8,46.4,,10.6
터키,2006,8015,6.9,74.5,86003,140234,15.44,25.17,63265,,23.4,42.7,45.5,44.6,8.7
터키,2007,9702,5,79.1,107654,170837,15.8,25.07,76506,,22.9,42.2,45.5,44.7,8.9
터키,2008,10833,0.8,88.6,132446,201851,17.19,26.2,73657,,23,38.7,46.2,44.9,9.7
터키,2009,8996,-4.8,93.4,102471,141186,15.78,21.75,74995,,23.3,36.7,47.1,44.2,12.6
터키,2010,10653,8.4,100,114022,185531,14.67,23.88,85971,48.901,24.7,37,48.1,46.3,10.7
터키,2011,11322,11.2,108.2,135288,241076,16.13,28.74,88210,43.603,25.7,37,49.3,48.4,8.8
터키,2012,11707,4.8,116.2,152905,237310,17.36,26.95,119177,40.941,24.8,37.1,49.4,48.9,8.2
터키,2013,12501,8.5,123.5,161698,260639,16.88,27.21,131004,34.284,25.2,37.4,50.3,49.5,8.7
터키,2014,12052,4.9,132.7,166658,250916,17.75,26.72,127307,33.234,24.5,38.1,50.5,49.5,9.9
터키,2015,10883,6.1,143.1,151158,213281,17.49,24.68,110527,32.6,25,38.2,51.2,50.2,10.2
터키,2016,10780,3.3,154.7,149390,202089,17.18,23.24,104971,34.354,25.1,38.2,52,50.7,10.8
터키,2017,10453,7.5,171.7,164671,238662,19.17,27.78,107657,34.861,24.7,38.9,52.8,51.6,10.8
터키,2018,9308,3,200,177328,230447,22.78,29.61,92997,32.362,24,39.2,53.2,52,10.9
터키,2019,8973,0.9,227.8,181021,210261,23.77,27.61,105620,34.816,23.1,39.6,52.9,50.3,13.7
터키,2020,8435,1.8,261.6,169835,219758,23.58,30.52,93199,,,39.7,49.3,47.5,13.1
캐나다,2000,23710,4.9,79.8,288057,243646,38.68,32.71,32425,105.071,34.7,32.9,65.8,70.9,6.8
캐나다,2001,23257,1.4,81.2,270824,225847,36.65,30.56,34253,104.776,34.1,31.5,65.9,70.8,7.2
캐나다,2002,23780,3.4,82.2,262476,226952,34.51,29.84,37189,103.575,33.1,31.7,66.9,71.4,7.7
캐나다,2003,27741,3.8,84.8,283926,244646,31.7,27.32,36267,99.241,32.7,31.7,67.6,72.2,7.6
캐나다,2004,31575,3.9,87.6,328673,279361,32.01,27.21,34477,95.322,32.7,31.9,67.5,72.5,7.2
캐나다,2005,35727,5,90.4,370734,320129,31.6,27.29,33018,93.873,32.7,31.9,67.1,72.4,6.8
캐나다,2006,39902,4.2,92.7,398470,356714,30.2,27.04,35063,91.149,32.7,31.7,67,72.7,6.3
캐나다,2007,43947,6.9,95.7,430613,388490,29.32,26.45,41082,86.954,32.5,31.3,67.4,73.3,6
캐나다,2008,45899,1,99.5,460709,417928,29.67,26.91,43873,89.725,31.2,31.3,67.6,73.4,6.1
캐나다,2009,40033,-2.9,97.2,322965,329000,23.49,23.93,54357,102.711,32.3,30.5,67.1,71.3,8.3
캐나다,2010,46427,3.1,100,392346,401709,24.26,24.84,57151,105.016,31,30.4,66.9,71.3,8.1
캐나다,2011,50941,3.1,103.2,461441,461006,25.73,25.71,65819,107.66,30.8,30.6,66.7,71.7,7.5
캐나다,2012,51427,1.8,104.5,461876,475105,25.26,25.99,68546,111.306,31.2,30.8,66.5,71.9,7.3
캐나다,2013,51520,2.3,106.3,465271,473160,25.2,25.62,71936,107.323,31.1,31,66.5,72.3,7.1
캐나다,2014,49814,2.9,108.4,479377,475000,26.55,26.3,74700,108.351,31.3,31.6,66,72.1,6.9
캐나다,2015,42542,0.7,107.4,410200,429490,26.35,27.59,79753,114.634,32.8,31.5,65.8,72.4,6.9
캐나다,2016,41484,1,108.2,394055,413106,25.79,27.04,82718,114.149,33.3,31.4,65.7,72.3,7
캐나다,2017,44329,3,111,424216,443282,25.72,26.88,86678,108.556,33.1,30.6,65.8,73.2,6.3
캐나다,2018,45659,2.4,113,453475,468729,26.34,27.22,83926,107.383,33.2,30.8,65.4,73.5,5.8
캐나다,2019,45956,1.9,114.8,450805,462392,25.88,26.55,85297,106.681,33.5,30.5,65.7,74.2,5.7
캐나다,2020,43024,-5.4,115.7,392129,419688,23.86,25.54,90428,141.582,,30.4,64,70,9.5
멕시코,2000,7004,4.9,57.9,166072,19319,23.46,2.73,35577,,11.5,12.7,61.7,,2.7
멕시코,2001,7405,-0.4,61.4,158821,18884,20.99,2.5,44805,,12.2,13.3,61,,2.6
멕시코,2002,7462,0,64.8,161124,18294,20.87,2.37,50672,,12.6,15.9,57.9,,3
멕시코,2003,6950,1.4,67.4,164846,16545,22.6,2.27,59026,36.503,12.7,16.8,58.3,,3.5
멕시코,2004,7373,3.9,72.7,187956,18246,24.03,2.33,64202,31.461,11.6,15.3,58.9,,3.9
멕시코,2005,8105,2.3,77,214074,21351,24.4,2.43,74110,30.92,11.4,14.7,59.3,60.1,3.6
멕시코,2006,8929,4.5,81.9,250015,24588,25.63,2.52,76329,30.743,11.6,15.1,60.1,61,3.6
멕시코,2007,9481,2.3,86.7,271881,27023,25.83,2.57,87208,32.436,12,15.9,60.1,61,3.6
멕시코,2008,9875,1.1,92,291856,29448,26.29,2.65,95298,34.318,12.6,15.1,59.9,60.7,3.9
멕시코,2009,7869,-5.3,95.7,229515,18239,25.5,2.03,99892,30.564,12.5,15.3,59.9,59.8,5.4
멕시코,2010,9161,5.1,100,298384,25085,28.21,2.37,120587,31.147,12.8,16,59.7,59.7,5.3
멕시코,2011,10041,3.7,105.8,349730,29724,29.63,2.52,149208,37.141,12.8,18.7,59.8,60,5.2
멕시코,2012,10044,3.6,110.1,370289,29590,30.83,2.46,167050,41.13,12.6,19,60.4,60.9,4.9
멕시코,2013,10413,1.4,111.8,379963,31366,29.81,2.46,180200,47.108,13.3,19.3,60.3,60.8,4.9
멕시코,2014,10661,2.8,116.8,397280,31617,30.2,2.4,195682,50.401,13.7,19.5,59.8,60.4,4.8
멕시코,2015,9368,3.3,120.1,381170,26214,32.53,2.24,177597,54.744,15.9,19.8,59.8,60.7,4.3
멕시코,2016,8510,2.6,126.8,373175,20753,34.6,1.92,178025,52.848,16.6,20.1,59.7,61,3.9
멕시코,2017,9047,2.1,135.4,408301,22325,35.23,1.93,175448,53.223,16.1,20.4,59.3,61.1,3.4
멕시코,2018,9425,2.2,142,449221,24145,36.75,1.98,176380,55.787,16.2,19.7,59.6,61.5,3.3
멕시코,2019,9660,-0.1,147.9,459597,,36.22,,183024,59.295,16.5,20.2,60.1,62.2,3.5
멕시코,2020,8054,-8.2,152.2,416235,,38.68,,199056,,,20.2,55.5,,4.5
미국,2000,36859,4.1,,781918,1259297,7.63,12.28,67646,72.129,28.3,30.8,67.1,74.1,4
미국,2001,37749,1,,729100,1179177,6.89,11.14,68679,74.79,27.3,30.7,66.8,73.1,4.7
미국,2002,38480,1.7,,693103,1200227,6.34,10.97,79005,80.403,25,30.6,66.6,71.9,5.8
미국,2003,39784,2.9,,724771,1303050,6.33,11.37,85937,81.878,24.5,30.5,66.2,71.2,6
미국,2004,42121,3.8,,814875,1525516,6.67,12.49,86935,88.866,24.8,30.5,66,71.2,5.5
미국,2005,44636,3.5,,901082,1735061,6.91,13.31,65127,88.587,26.1,30.4,66.1,71.5,5.1
미국,2006,47261,2.9,,1025967,1918077,7.43,13.88,65895,85.943,26.8,30.6,66.2,72,4.6
미국,2007,48380,1.9,,1148199,2020403,7.94,13.98,70565,86.379,26.8,30.9,66,71.8,4.6
미국,2008,48387,-0.1,98.1,1287442,2169487,8.75,14.75,77648,102.409,25.7,30.1,66,70.9,5.8
미국,2009,47015,-2.5,98.8,1056000,1559700,7.31,10.79,130760,115.678,23,30.3,65.4,67.6,9.3
미국,2010,48955,2.6,100,1278300,1913800,8.53,12.77,132433,125.812,23.5,30.7,64.7,66.7,9.6
미국,2011,50823,1.6,102.1,1482400,2208000,9.54,14.21,147953,130.969,23.8,29.9,64.1,66.6,9
미국,2012,53079,2.2,104,1545800,2276000,9.54,14.05,150175,132.704,24,29.8,63.7,67.1,8.1
미국,2013,54275,1.8,105.9,1578500,2268100,9.4,13.51,144575,136.253,25.6,31.5,63.3,67.4,7.4
미국,2014,56657,2.5,107.8,1621700,2356100,9.25,13.44,130090,135.607,25.9,31.6,62.9,68.1,6.2
미국,2015,58265,3.1,108.9,1503400,2248800,8.24,12.33,117581,136.451,26.2,31.4,62.7,68.7,5.3
미국,2016,59035,1.7,110,1451500,2186800,7.74,11.67,117332,138.131,25.8,31.6,62.8,69.4,4.9
미국,2017,61420,2.3,112.1,1547200,2339600,7.92,11.97,123293,134.69,26.7,31.8,62.9,70.1,4.4
미국,2018,64062,3,114.8,1665700,2537700,8.08,12.31,125798,136.198,24.4,29.6,62.9,70.7,3.9
미국,2019,65914,2.2,116.8,1643100,2497500,7.67,11.65,129479,134.999,24.5,29.7,63.1,71.4,3.7
칠레,2000,4897,5.3,57,19210,,24.67,,15353,,18.8,7,55.9,,10.5
칠레,2001,4423,3.3,59.2,18272,,25.74,,14398,,19,7,55,,10.4
칠레,2002,4274,3.1,61.2,18180,,26.07,,15343,,19.1,7,54.5,,10.2
칠레,2003,4482,4.1,64,21651,,28.62,,15842,23.743,18.8,7,55,,9.8
칠레,2004,5687,7.2,69,33025,,33.29,,15997,20.687,19.1,7,55.4,,10.2
칠레,2005,6941,5.7,74.3,41974,,34.13,,16933,16.347,20.7,7,55.7,54.4,9.3
칠레,2006,8316,6.3,83.3,59380,,38.36,,19396,13.33,22,7,56.9,55.5,9
칠레,2007,9331,4.9,87.7,68561,,39.49,,16842,11.324,22.7,7,57.4,56.3,8.4
칠레,2008,9915,3.5,87.7,64510,,35.91,,23078,12.444,21.4,7,58.6,57.3,9.3
칠레,2009,9512,-1.6,91.8,55463,,32.17,,25292,13.312,17.3,7,58.4,56.1,11.3
칠레,2010,11904,5.8,100,71109,,32.54,,27828,15.309,19.6,7,58.7,60.1,8.4
칠레,2011,13752,6.1,103.1,81438,,32.28,,41944,17.973,21.1,7,60,62,7.3
칠레,2012,14627,5.3,104.3,78063,,29.22,,41649,18.455,21.3,7,59.7,62.7,6.7
칠레,2013,15042,4,106.3,76770,,27.58,,41093,18.91,19.9,7,59.7,63.2,6.2
칠레,2014,14109,1.8,112.6,75065,,28.81,,40447,22.434,19.6,7,60,63.2,6.7
칠레,2015,13165,2.3,118.2,62035,,25.43,,38641,24.361,20.4,7,59.9,63.5,6.5
칠레,2016,13324,1.7,123.5,60718,,24.24,,40493,28.1,20.1,7,59.6,63.3,6.7
칠레,2017,14378,1.2,129.4,68823,,24.84,,38982,29.066,20.2,7,59.9,63.9,7
칠레,2018,15169,3.7,132.4,75200,,25.27,,39859,31.812,21.1,7,59.8,64.1,7.2
칠레,2019,14209,0.9,135,69889,,25.02,,40656,37.776,20.7,7,59.6,64.1,7.3
칠레,2020,12660,-5.8,146.3,71728,,28.36,,39166,43.821,,7,55.3,55.8,11.2
콜롬비아,2000,2466,2.9,,13159,11757,13.17,11.77,9005,,15.7,,64.9,,20.5
콜롬비아,2001,2379,1.7,,12330,12821,12.55,13.05,10245,,17.3,,67.6,,15
콜롬비아,2002,2332,2.5,,11975,12695,12.22,12.96,10844,,17.2,,66.6,,14.5
