국가별,시점,인당_국민총소득,GDP_성장률,디플레이터,수출,수입,무역의존도_수출,무역의존도_수입,외환보유액,부채비율,국민부담률,평균근로자세금,경제활동참가율 (%),고용률,실업률
라트비아,2018,17545,4,123.2,15070,18616,43.81,54.12,4371,45.648,31.2,42.6,61.4,71.8,7.4
라트비아,2019,17633,2,126,14510,17809,42.61,52.29,4479,47.204,31.2,42.5,61.2,72.3,6.3
리투아니아,2000,3232,3.7,72.9,3548,5219,30.79,45.29,1359,34.479,30.8,45.7,60.3,,15.9
리투아니아,2001,3475,6.5,72.7,4279,6060,34.97,49.52,1669,33.541,29.3,45.7,59.1,,16.8
리투아니아,2002,4096,6.8,72.9,5232,7526,36.69,52.78,2413,32.021,29,45.2,58.5,,13
리투아니아,2003,5364,10.6,72.3,6970,9669,37.11,51.48,3450,28.59,28.6,44.3,60.2,,12.9
리투아니아,2004,6548,6.6,74.2,9307,12386,41.13,54.74,3594,27.294,29,44.8,57.2,,10.7
리투아니아,2005,7689,7.7,79.3,11782,15511,45.15,59.43,3816,24.923,29.2,45.4,56.3,62.9,8.3
리투아니아,2006,8970,7.4,84.7,14153,19413,46.89,64.32,5773,21.976,30.1,44.4,55.3,63.6,5.8
리투아니아,2007,11719,11.1,91.9,17163,24445,43.23,61.58,7712,19.404,30,43,55.6,65,4.3
리투아니아,2008,14407,2.6,100.9,23770,31294,49.73,65.47,6442,17.136,30.6,41.6,55.8,64.4,5.8
리투아니아,2009,12071,-14.8,97.5,16497,18341,44.12,49.06,6626,34.18,30.2,40.7,56.6,59.9,13.8
리투아니아,2010,11808,1.7,100,20726,23385,55.82,62.98,6599,45.471,28.4,40.6,56.8,57.6,17.8
리투아니아,2011,13706,6,105.3,28078,31810,64.49,73.07,8210,45.683,27.2,40.7,57.4,60.2,15.4
리투아니아,2012,13654,3.8,108.2,29625,31988,69.01,74.52,8529,51.186,27,40.9,57.7,62,13.4
리투아니아,2013,15120,3.6,109.6,32604,34814,70.08,74.83,8072,47.921,26.8,41.1,58,63.7,11.8
리투아니아,2014,16140,3.5,110.5,32346,34389,66.65,70.86,8728,52.587,27.5,41,58.9,65.7,10.7
리투아니아,2015,13617,2,110.6,25392,28154,61.31,67.97,1697,53.339,28.7,41.2,59.2,67.3,9.1
리투아니아,2016,14357,2.5,112.3,25009,27333,58.14,63.54,2602,50.889,29.7,41.3,60.3,69.4,7.9
리투아니아,2017,16138,4.3,117.1,29900,32258,62.76,67.71,4450,47.002,29.5,41.1,60.6,70.4,7.1
리투아니아,2018,18574,3.9,121.2,33337,36502,62.08,67.98,5771,40.673,30.2,40.7,61.6,72.4,6.2
리투아니아,2019,19111,4.3,124.7,33152,35760,60.67,65.45,5085,44.537,30.3,37.7,62.1,73,6.3
룩셈부르크,2000,43203,8.2,75,7833,10707,36.84,50.36,98,17.774,36.9,35.8,53.4,,2.4
룩셈부르크,2001,43481,2.5,75.3,8202,11255,38.56,52.91,127,18.121,37.4,34.5,53.8,,1.8
룩셈부르크,2002,44999,3.8,76.6,8503,11610,36.01,49.16,178,18.174,37.3,31.6,54.8,,2.6
룩셈부르크,2003,53881,1.6,78.6,9981,13695,33.77,46.33,311,19.448,37.5,32.1,54.2,62.2,3.7
룩셈부르크,2004,70295,3.6,80.9,12168,17011,35.08,49.04,331,20.275,36.6,32.5,55,62.5,5.1
룩셈부르크,2005,75330,3.2,84.3,19068,22506,51.06,60.26,279,18.915,37.7,33.4,55.6,63.6,4.5
룩셈부르크,2006,74150,5.2,90.3,22985,27115,54.19,63.93,265,17.807,35.7,34,55,63.6,4.7
룩셈부르크,2007,92752,8.4,91.6,22949,28047,45.1,55.12,206,17.36,36.2,35,55.9,64.2,4.1
룩셈부르크,2008,95034,-1.3,95.2,25691,32169,46,57.6,398,25.806,36.8,34.7,56,63.4,5.1
룩셈부르크,2009,70073,-4.4,96.5,21321,25282,41.5,49.21,810,23.903,38.3,34.9,58.2,65.2,5.1
룩셈부르크,2010,75569,4.9,100,18831,24793,35.39,46.59,849,29.003,37.5,35.3,57.7,65.2,4.4
룩셈부르크,2011,79779,2.5,104.8,20849,28855,34.75,48.09,1014,27.823,37.1,37.3,57.6,64.6,4.9
룩셈부르크,2012,74240,-0.4,107.5,18878,27325,33.31,48.21,991,29.71,38.3,37.1,58.8,65.9,5.1
룩셈부르크,2013,76001,3.7,109.3,18442,26672,29.87,43.2,963,30.221,38.2,38.2,59.4,65.7,5.9
룩셈부르크,2014,79189,4.3,112.3,15148,24063,22.92,36.4,863,30.55,37.5,38.6,60.1,66.6,5.9
룩셈부르크,2015,66378,4.3,112.5,12948,19571,22.42,33.89,771,30.471,37,39.5,60,66.2,6.7
룩셈부르크,2016,66705,4.6,113.3,13179,19517,21.72,32.16,974,27.866,36.8,39.6,58.9,65.6,6.3
룩셈부르크,2017,69742,1.8,115.3,14285,21422,22.31,33.46,878,29.652,37.6,37.8,59.3,66.3,5.5
룩셈부르크,2018,74732,3.1,118.2,15701,23546,22.15,33.22,939,28.836,39.7,38.2,59.9,67.1,5.6
네덜란드,2000,26617,4.2,81,213424,198926,51.25,47.77,17688,62.151,36.9,40,63.5,73,2.7
네덜란드,2001,26794,2.3,84.3,216183,195571,50.13,45.35,16897,58.224,35.6,37.4,64.2,74.1,2.1
네덜란드,2002,29196,0.2,87.5,219976,194234,46.64,41.18,18948,58.698,35,37.4,64.9,74.4,2.6
네덜란드,2003,36106,0.2,89.4,264860,234023,45.76,40.43,21597,59.753,34.8,37.2,64.8,73.7,3.6
네덜란드,2004,40577,2,90.5,318075,284027,48.4,43.22,21603,60.074,34.8,38.8,64.9,73.1,4.7
네덜란드,2005,41279,2.1,92.3,349600,310382,51.03,45.31,20448,59.293,35,38.9,63.4,70.6,5.9
네덜란드,2006,44953,3.5,94.7,400670,358515,54.64,48.89,23902,53.089,36,38.4,63.6,71.6,5
네덜란드,2007,51318,3.8,96.6,472662,421094,55.77,49.69,26983,50.5,35.7,38.7,64.5,73.5,4.2
네덜란드,2008,55607,2.2,98.9,545562,494752,57.55,52.19,28509,62.822,35.9,39.2,65.3,74.9,3.7
네덜란드,2009,51699,-3.7,99.1,431839,382407,49.75,44.05,39609,65.325,34.9,38,65.4,74.6,4.4
네덜란드,2010,50893,1.3,100,492703,439992,58.2,51.97,46240,69.513,35.7,38.1,64.8,73.9,5
네덜란드,2011,54769,1.6,100.2,569638,507870,63.01,56.18,51268,73.729,35.4,38,64.5,74.2,5
네덜란드,2012,50818,-1,101.6,552581,500654,65.86,59.67,54816,79.479,35.6,38.6,65,74.4,5.8
네덜란드,2013,52768,-0.1,102.9,575168,513101,65.59,58.51,46250,78.936,36.1,40.6,65,73.6,7.2
네덜란드,2014,52614,1.4,103.2,575720,508207,64.62,57.04,42921,83.333,37,39,64.4,73.1,7.4
네덜란드,2015,45214,2,104,464700,412694,60.72,53.93,38205,79.617,37,37,64.4,74.2,6.9
네덜란드,2016,45458,2.2,104.5,468172,408049,59.75,52.08,36133,77.633,38.4,37.2,64.1,74.8,6
네덜란드,2017,49237,2.9,105.8,527910,461906,63.47,55.53,38442,70.868,38.7,37.4,64,75.9,4.8
네덜란드,2018,54164,2.4,108.4,587895,521037,64.35,57.03,38468,66.03,38.8,37.8,64.3,77.2,3.8
네덜란드,2019,53260,1.7,111.7,576786,514851,63.59,56.76,43285,62.242,39.3,37,64.8,78.2,3.4
노르웨이,2000,37538,3.2,68,60058,34391,35.07,20.08,27854,32.817,41.7,38.6,73.8,77.5,3.5
노르웨이,2001,38480,2.1,69.1,59216,32953,34.04,18.94,23538,31.882,41.9,39.2,73.9,77.2,3.7
노르웨이,2002,43127,1.4,68,59663,34873,30.51,17.84,32403,39.189,42.2,38.6,74.1,76.8,4
노르웨이,2003,50362,0.9,70,68321,40055,29.85,17.5,37711,48.511,41.6,38.1,72.8,75.5,4.2
노르웨이,2004,57635,4,74,82527,48534,31.2,18.35,44308,50.362,42.3,38.1,72.6,75.1,4.3
노르웨이,2005,67412,2.6,80.5,103751,55481,33.59,17.96,46986,47.38,42.5,37.2,72.2,74.8,4.4
노르웨이,2006,74009,2.4,87.6,122122,64278,35.34,18.6,56842,58.269,42.7,37.4,71.9,75.4,3.4
노르웨이,2007,84698,3,90.2,136371,80378,34.01,20.05,60840,56.084,42,37.5,72.6,76.8,2.5
노르웨이,2008,96459,0.5,99.6,171764,90293,37.16,19.53,50950,54.776,41.3,37.6,73.8,78,2.6
노르웨이,2009,80465,-1.7,94.4,116778,68970,30.24,17.86,48859,48.837,41.1,37.3,72.7,76.4,3.1
노르웨이,2010,88706,0.7,100,130669,77326,30.48,18.03,53215,49.232,41.8,37.3,71.8,75.3,3.5
노르웨이,2011,101663,1,106.7,160305,90787,32.17,18.22,49397,34.721,41.9,37.6,71.3,75.3,3.2
노르웨이,2012,102485,2.7,110.3,160953,87308,31.59,17.14,51856,35.875,41.4,37.4,71.4,75.8,3.1
노르웨이,2013,104013,1,113.1,156022,89808,29.85,17.18,58283,36.462,39.8,37.4,71.1,75.4,3.4
노르웨이,2014,99990,2,113.4,144677,89460,29.03,17.95,64801,34.72,38.7,36.9,64.9,75.2,3.5
노르웨이,2015,77278,2,110.2,103809,76388,26.91,19.8,57456,40.221,38.4,36.7,65,74.8,4.3
노르웨이,2016,73313,1.1,108.6,89507,75002,24.27,20.34,60445,44.258,38.9,36.3,64.5,74.3,4.7
노르웨이,2017,77984,2.3,112.9,104448,82876,26.22,20.8,65924,44.665,38.8,36,63.7,74,4.2
노르웨이,2018,84942,1.1,120.4,123036,87431,28.15,20.01,63145,45.341,39.6,35.8,64.1,74.8,3.8
노르웨이,2019,77578,0.9,119.8,104004,86152,25.65,21.25,66946,46.687,39.9,35.8,64.2,75.3,3.7
노르웨이,2020,69761,-0.8,115.5,82743,81352,22.86,22.47,75259,53.521,,35.8,63.8,74.7,4.4
폴란드,2000,4448,4.6,75.9,31684,48970,18.4,28.43,27464,45.949,32.9,38.2,56.8,55,16.3
폴란드,2001,4939,1.3,78.3,36159,50378,18.94,26.39,26563,44.573,32.9,38,56.9,53.4,18.4
폴란드,2002,5155,2,79.7,41032,55141,20.61,27.7,29784,54.021,33,38,55.7,51.5,19.9
폴란드,2003,5612,3.5,80.4,53699,68153,24.65,31.29,33960,56.205,32.5,38.2,54.6,51.2,19.4
폴란드,2004,6432,5,84.3,74828,89362,29.33,35.03,36773,53.772,31.9,38.4,54.4,51.7,19.1
폴란드,2005,7838,3.5,86.5,89245,101399,29.15,33.12,42561,55.252,33,38.7,54.9,52.8,17.8
폴란드,2006,8794,6.1,88,110941,127260,32.19,36.93,48474,54.962,33.6,39,54,54.5,13.8
폴란드,2007,10808,7.1,91.2,140338,166047,32.71,38.7,65734,51.555,34.6,38.2,53.7,57,9.6
폴란드,2008,13664,4.2,94.8,170998,209330,32.05,39.23,62168,53.877,34.1,34.7,54.2,59.2,7.1
폴란드,2009,11119,2.8,98.4,136786,149723,31.11,34.05,79576,57.184,31.2,34.1,54.9,59.4,8.2
폴란드,2010,12072,3.7,100,159829,178149,33.31,37.13,93488,61.682,31.4,34.2,55.3,59,9.6
폴란드,2011,13301,4.8,103.3,188853,210824,35.75,39.91,97856,62.176,31.8,34.3,55.6,59.3,9.6
폴란드,2012,12553,1.3,105.7,185474,199235,37.2,39.97,108902,65.554,32,35.5,55.9,59.7,10.1
폴란드,2013,13193,1.1,106,205065,207701,39.36,39.86,106212,66.448,31.9,35.6,55.9,60,10.3
폴란드,2014,13708,3.4,106.6,220061,223564,40.57,41.21,100430,71.438,31.9,35.7,56.3,61.7,9
폴란드,2015,12105,4.2,107.6,199202,196548,41.69,41.14,94910,70.21,32.4,35.7,56.2,62.9,7.5
폴란드,2016,11951,3.1,108,203936,199623,43.15,42.24,114372,73.006,33.4,35.6,56.2,64.5,6.2
폴란드,2017,13301,4.8,110,234253,233704,44.49,44.39,113267,68.715,34.1,35.7,56.4,66.1,4.9
폴란드,2018,14849,5.4,111.3,263494,268880,44.86,45.77,116957,66.759,35.2,35.8,56.3,67.4,3.9
폴란드,2019,15101,4.5,114.8,266574,265260,44.74,44.52,128392,63.315,35.4,35.6,56.2,68.2,3.3
폴란드,2020,15222,-2.7,119.6,270939,257064,45.6,43.26,154219,77.224,,34.8,56.1,68.7,3.2
포르투갈,2000,11303,3.8,76.9,25089,42128,21.21,35.61,14262,67.711,31.1,37.3,60.8,68.4,3.8
포르투갈,2001,11547,1.9,79.7,24930,41665,20.52,34.29,15060,69.682,30.8,36.4,61.4,69,3.8
포르투갈,2002,12721,0.8,83.1,26897,42626,20.05,31.77,17701,71.819,31.3,37.6,62,68.8,4.5
포르투갈,2003,15649,-0.9,85.9,33103,50328,20.08,30.53,12813,75.641,31.4,37.4,62,68,6.1
포르투갈,2004,17826,1.8,88,38452,61287,20.34,32.42,11684,80.575,30.2,37.4,61.5,67.7,6.3
포르투갈,2005,18515,0.8,90.9,38720,63879,19.64,32.4,10364,83.866,30.8,36.8,61.9,67.3,7.6
포르투갈,2006,19222,1.6,93.8,44782,70713,21.47,33.9,9883,82.982,31.3,37.5,62.1,67.6,7.7
포르투갈,2007,22064,2.5,96.6,52493,82280,21.85,34.26,11546,80.512,31.8,37.3,62.2,67.6,8
포르투갈,2008,23930,0.3,98.3,57377,94669,21.87,36.09,11948,84.499,31.7,36.9,62,68,7.6
포르투갈,2009,22214,-3.1,99.4,44264,71781,18.16,29.45,15985,97.632,29.9,36.5,61.4,66.1,9.4
포르투갈,2010,21736,1.7,100,49404,77682,20.77,32.66,20995,105.668,30.5,37.1,61.2,65.3,10.8
포르투갈,2011,22786,-1.7,99.7,59622,82948,24.36,33.88,21336,109.88,32.3,38,60.5,63.8,12.7
포르투갈,2012,20056,-4.1,99.3,58115,72488,26.88,33.52,22658,137.316,31.8,37.6,60.2,61.4,15.5
포르투갈,2013,21326,-0.9,101.6,62797,75727,27.74,33.45,17552,141.066,34,41.4,59.3,60.6,16.2
포르투갈,2014,21587,0.8,102.3,63833,78390,27.8,34.14,19618,150.745,34.2,41.1,58.8,62.6,13.9
포르투갈,2015,18708,1.8,104.4,55047,66914,27.62,33.57,19397,148.418,34.4,42.1,58.6,63.9,12.4
포르투갈,2016,19493,2,106.2,55354,67754,26.83,32.84,25132,144.312,34.1,41.5,58.5,65.3,11.1
포르투갈,2017,20958,3.5,107.8,62129,78762,28.14,35.67,26109,143.131,34.1,41.4,59,67.8,8.9
포르투갈,2018,23038,2.8,109.7,68361,89060,28.23,36.77,24943,137.265,34.8,40.9,59.1,69.7,7
포르투갈,2019,22832,2.5,111.6,67064,89539,28,37.38,24981,135.976,34.8,41.2,59.3,70.5,6.5
포르투갈,2020,22340,-7.6,114.3,61510,77515,26.6,33.52,29502,155.13,,41.3,58,69,6.8
슬로바키아,2000,5381,1.2,75.4,11889,,40.76,,4075,58.779,33.6,42.1,59.8,56.8,19.1
슬로바키아,2001,5699,3.3,79.3,12641,,41.11,,4186,58.504,32.7,42.9,60.5,56.8,19.4
슬로바키아,2002,6490,4.5,82.4,14478,,41.21,,9195,51.509,32.8,42.5,59.7,56.8,18.7
슬로바키아,2003,8252,5.5,86.8,21966,,46.92,,12149,49.377,32.6,42.9,60.1,57.7,17.1
슬로바키아,2004,10212,5.3,91.7,29215,27645,50.96,48.22,14912,46.755,31.5,42.5,60.1,57,18.6
슬로바키아,2005,11333,6.6,94.1,34229,31852,54.52,50.73,15480,39.905,31.3,38.4,59.5,57.7,16.3
슬로바키아,2006,12734,8.5,96.8,44535,41711,62.98,58.99,13364,37.592,29.3,38.6,59.1,59.4,13.4
슬로바키아,2007,15571,10.8,97.9,59013,58050,68.26,67.15,18976,36.066,29.2,38.6,58.9,60.7,11.1
슬로바키아,2008,18290,5.6,100.7,71307,70255,70.97,69.93,18831,34.89,29.1,39,59.3,62.3,9.5
슬로바키아,2009,16399,-5.5,99.5,54206,55572,60.87,62.41,1821,44.039,28.9,37.9,58.9,60.2,12
슬로바키아,2010,16363,5.9,100,64231,65304,71.12,72.31,2161,48.755,28.1,38.1,59,58.8,14.4
슬로바키아,2011,17695,2.8,101.7,77202,78980,77.88,79.68,2462,51.442,29.1,39,58.8,59.3,13.6
슬로바키아,2012,17165,1.9,103,74832,79964,79.16,84.59,2519,60.775,28.8,39.8,59.2,59.7,14
슬로바키아,2013,18096,0.7,103.5,79136,85193,80.06,86.19,2150,65.17,31,41.3,59.3,59.9,14.2
슬로바키아,2014,18432,2.6,103.3,79385,85766,78.45,84.76,2614,67.829,31.9,41.4,59.4,61,13.2
슬로바키아,2015,15882,4.8,103.1,71454,74971,80.77,84.74,2892,66.494,32.7,41.5,59.6,62.7,11.5
슬로바키아,2016,16047,2.1,102.5,73245,77003,81.7,85.89,2892,67.74,33.3,41.7,60.1,64.9,9.7
슬로바키아,2017,17148,3,103.8,80013,83486,84.04,87.69,3622,65.482,34.2,41.7,60,66.2,8.1
슬로바키아,2018,19076,3.7,105.9,90678,93434,85.97,88.58,5231,63.379,34.3,41.9,59.8,67.6,6.5
슬로바키아,2019,18923,2.5,108.6,88736,89929,84.41,85.55,7167,63.121,34.7,41.9,59.7,68.4,5.8
슬로바키아,2020,18825,-4.8,111.1,83272,86476,79.63,82.69,9347,79.032,,41.2,59.1,67.5,6.7
슬로베니아,2000,10183,3.7,67.8,9492,10984,46.78,54.14,3196,34.313,37.7,46.3,57.4,62.9,6.9
슬로베니아,2001,10495,3.2,73.7,10347,11344,49.56,54.34,4397,35.153,37.8,46.2,57.7,63.8,5.7
슬로베니아,2002,11717,3.5,79.2,10962,11574,46.67,49.27,7063,36.155,38.3,46.1,58.1,63.5,5.9
슬로베니아,2003,14749,3,83.7,11285,12239,38.08,41.3,8598,34.923,38.4,46.2,56.5,62.6,6.5
슬로베니아,2004,17050,4.4,86.5,12783,14143,37.14,41.1,8899,35.181,38.5,46.3,59,65.3,6
슬로베니아,2005,17978,3.8,87.8,14397,15805,39.76,43.65,8160,34.482,39.2,45.6,59.3,66,6.5
슬로베니아,2006,19469,5.7,89.8,17004,18355,43.07,46.49,7139,33.069,38.7,45.3,59.3,66.6,6
슬로베니아,2007,23310,7,93.5,19629,21521,40.89,44.83,1066,30.345,38.1,43.3,59.7,67.8,4.8
슬로베니아,2008,26741,3.5,97.7,20042,23038,36.08,41.47,957,29.895,37.3,42.9,59.5,68.6,4.4
슬로베니아,2009,24355,-7.5,101,22646,38166,44.96,75.77,1080,43.787,37.1,42.2,59.4,67.5,5.9
슬로베니아,2010,23258,1.3,100,24716,26664,51.32,55.37,1071,47.866,37.8,42.5,59.2,66.2,7.2
슬로베니아,2011,24773,0.9,101,29242,31396,56.76,60.94,991,51.33,37.4,42.6,57.9,64.4,8.2
슬로베니아,2012,22283,-2.6,101.5,27080,28392,58.14,60.95,952,61.514,37.7,42.5,57.5,64.1,8.8
슬로베니아,2013,23147,-1,103.1,28629,29380,59.15,60.7,922,78.506,37.2,42.4,57.3,63.3,10.1
슬로베니아,2014,23929,2.8,103.6,30522,30052,61.13,60.19,1016,99.255,37.2,42.5,57.7,63.9,9.7
슬로베니아,2015,20163,2.2,104.7,26587,25876,61.7,60.05,856,102.377,37.3,42.6,57.3,65.2,9
슬로베니아,2016,21021,3.2,105.6,27658,26695,61.82,59.67,743,97.208,37.4,42.7,56.6,65.9,8
슬로베니아,2017,22923,4.8,107.1,31894,31154,65.81,64.28,890,88.99,37.1,42.9,58.4,69.3,6.6
슬로베니아,2018,25636,4.4,109.4,36488,36273,67.4,67.01,933,83.02,37.4,43.2,58.8,71.1,5.1
슬로베니아,2019,25645,3.2,111.9,37543,37575,69.3,69.36,1015,80.928,37.7,43.5,58.1,71.9,4.5
스페인,2000,14516,5.2,74.5,113348,152901,18.99,25.62,35608,65.464,33.1,38.6,52.8,56.3,13.8
스페인,2001,14971,3.9,77.5,115177,153636,18.36,24.49,34236,60.915,32.8,38.9,52.1,57.8,10.4
스페인,2002,16637,2.7,80.7,123635,163672,17.53,23.2,40303,59.581,33.2,39.1,53.8,58.9,11.2
스페인,2003,21083,3,83.8,156032,208562,17.23,23.03,26809,54.947,33.1,38.6,54.9,60.2,11.3
스페인,2004,24410,3.1,87.1,182161,257678,17.07,24.15,19759,53.065,34,38.8,55.9,61.3,11.1
스페인,2005,25838,3.7,90.7,190843,287436,16.55,24.92,17227,50.48,35.2,39,57.1,63.6,9.2
스페인,2006,27635,4.1,94.3,213353,326051,16.94,25.89,19340,46.096,36,39.1,58,65,8.5
스페인,2007,31610,3.6,97.5,248918,385356,16.91,26.18,19054,42.353,36.4,39,58.6,65.8,8.2
스페인,2008,34299,0.9,99.7,276962,416373,17.04,25.62,20245,47.685,32.1,38,59.4,64.5,11.3
스페인,2009,31280,-3.8,99.8,220452,290327,14.84,19.54,28201,62.656,29.7,38.3,59.5,60,17.9
스페인,2010,29831,0.2,100,246253,315522,17.33,22.21,31915,67.377,31.3,39.7,59.6,58.9,19.9
스페인,2011,30853,-0.8,100,298523,362914,20.19,24.54,47099,78.339,31.2,40,59.7,58,21.4
스페인,2012,27925,-3,99.9,286225,325844,21.6,24.6,50588,93.456,32.4,40.6,59.8,55.8,24.8
스페인,2013,28675,-1.4,100.3,311633,333928,23,24.65,46308,106.557,33.1,40.7,59.4,54.8,26.1
스페인,2014,29167,1.4,100,323850,359132,23.65,26.23,50351,119.473,33.9,40.7,58.9,56,24.4
스페인,2015,25601,3.8,100.6,282330,312583,23.62,26.15,53970,117.075,33.8,39.4,58.8,57.8,22.1
스페인,2016,26485,3,100.9,287213,310615,23.31,25.21,63144,117.331,33.6,39.4,58.5,59.6,19.6
스페인,2017,28078,3,102.2,319442,351023,24.4,26.81,69409,115.777,33.9,39.3,58.1,61.1,17.2
스페인,2018,30498,2.4,103.4,345315,388721,24.29,27.35,70650,114.507,34.6,39.4,57.9,62.4,15.3
스페인,2019,29860,2,104.9,332965,372424,23.89,26.73,74715,117.317,34.6,39.4,57.9,63.3,14.1
스웨덴,2000,29611,4.8,83.8,87946,73256,33.46,27.87,15134,64.173,48.8,50.1,60.4,,5.5
스웨덴,2001,27263,1.4,85.9,78690,64389,32.46,26.56,14239,65.889,46.7,49.1,62.7,74.1,4.7
스웨덴,2002,29999,2.2,87.2,83225,67693,31.19,25.37,17411,66.104,45,47.8,62.7,73.6,5
스웨덴,2003,37979,2.3,88.7,102338,84357,30.61,25.23,19991,65.157,45.4,48.2,62.8,72.9,5.6
스웨덴,2004,43077,4.3,89,122571,100927,31.83,26.21,24775,64.676,45.7,48.4,62.5,72.1,6.7
스웨덴,2005,43984,2.9,89.6,131081,111083,33.42,28.32,24890,65.535,46.7,48.1,62.9,72.3,7.5
스웨덴,2006,47721,4.7,91.2,146946,128049,34.73,30.26,28023,59.339,46.1,47.8,63.4,73.1,7.1
스웨덴,2007,55219,3.4,93.7,169604,154052,34.52,31.36,31037,53.722,45.1,45.3,63.7,74.2,6.2
스웨덴,2008,57983,-0.5,96.8,183770,168333,35.5,32.52,29717,52.641,44.1,44.8,63.9,74.3,6.2
스웨덴,2009,47973,-4.3,99.1,130232,119605,29.83,27.4,47291,55.974,43.9,43.2,63.3,72.2,8.4
스웨덴,2010,54236,6,100,157394,149459,31.74,30.14,48300,53.351,43.1,42.8,70.5,72.2,8.6
스웨덴,2011,61882,3.2,101.1,188338,176682,32.81,30.78,50349,53.826,42.1,42.8,70.9,73.6,7.8
스웨덴,2012,59221,-0.6,102.1,173163,164519,31.34,29.78,52234,55.144,42.3,42.9,71.1,73.8,8
스웨덴,2013,62385,1.2,103,167657,161114,28.57,27.45,65383,57.993,42.7,43,71.5,74.4,8.1
스웨덴,2014,61312,2.7,104.8,164733,161976,28.31,27.83,62499,64.195,42.4,42.5,72,74.9,8
스웨덴,2015,52139,4.5,107.1,140090,137980,27.73,27.32,58107,62.324,42.9,42.6,72,75.5,7.4
스웨덴,2016,52728,2.1,108.7,138849,139997,26.93,27.15,59386,61.919,44.3,42.8,72.1,76.2,7
스웨덴,2017,55569,2.6,111,152954,153863,28.27,28.44,62216,60.092,44.3,42.9,72.7,76.9,6.7
스웨덴,2018,56757,2,113.7,166766,169405,30.02,30.5,60567,59.198,43.9,43,73,77.4,6.4
스웨덴,2019,54477,1.4,116.6,161089,158835,30.32,29.9,55490,55.88,42.9,42.6,73.4,77.1,6.8
스웨덴,2020,54895,-2.8,118.2,154297,148940,28.7,27.7,58279,63.503,,42.7,73.3,75.5,8.3
스위스,2000,41647,4,90.6,80452,82461,28.75,29.47,53491,53.735,27.6,22.9,67.4,,2.7
스위스,2001,41478,1.6,91.5,82077,84086,28.58,29.28,51670,51.901,27,22.9,67.8,,2.5
스위스,2002,43989,0,91.3,91986,87345,29.66,28.16,61311,57.864,27.6,22.9,67.7,,2.9
스위스,2003,53082,0,92.4,104954,100342,28.91,27.64,69585,56.886,26.9,22.4,67.9,,4.1
스위스,2004,58647,2.8,92.7,123009,115976,30.33,28.6,74619,58.019,26.6,22.2,67.3,,4.3
스위스,2005,61479,2.9,93.5,130905,126544,31.13,30.09,57640,55.384,26.6,22.2,67,77.2,4.4
스위스,2006,63715,4,95.5,147844,141430,33.31,31.87,64497,49.227,26.4,22.1,67.4,77.9,4
스위스,2007,65747,4,97.8,172060,161232,34.86,32.67,75372,45.679,26.2,22.4,67.6,78.6,3.7
스위스,2008,69922,2.8,99.3,200334,183192,35.13,32.12,74074,45.572,26.6,21.9,68.2,79.5,3.4
스위스,2009,73547,-2.1,99.7,172850,155706,30.97,27.89,135255,44.017,27,21.9,68.2,79,4.1
스위스,2010,81505,3.3,100,195512,176305,32.4,29.22,270296,42.631,26.6,22.1,67,77.3,4.8
스위스,2011,92135,1.9,100,234866,208280,32.53,28.85,331872,42.858,26.9,22.3,67.5,78.4,4.4
스위스,2012,88170,1.2,100,312464,295961,45.15,42.76,531050,43.372,26.9,22.1,67.5,78.5,4.5
스위스,2013,89605,1.8,99.9,357851,321509,50.21,45.11,535851,42.599,27,22.2,67.5,78.4,4.8
스위스,2014,89650,2.4,99.4,311203,275742,42.38,37.55,545529,42.468,26.9,21.9,67.9,78.8,4.8
스위스,2015,86440,1.7,98.2,289820,253110,41.28,36.05,602709,42.377,27.6,21.9,68.2,79.2,4.8
스위스,2016,83421,2,97.6,302849,270068,43.54,38.83,679359,41.187,27.7,22.1,68.6,79.6,4.9
스위스,2017,81827,1.6,97.2,299559,269796,42.52,38.3,811196,41.898,28.4,22.1,68.4,79.8,4.8
스위스,2018,84543,3,97.9,310836,279600,42.24,37.99,786971,39.738,28,22.2,68.5,80.1,4.7
스위스,2019,85724,1.1,97.8,313913,277810,42.92,37.98,854804,40.997,28.5,22.3,68.2,80.5,4.4
영국,2000,28248,3.5,80,281488,333896,16.98,20.14,50911,49.409,32.8,32.6,61.9,72.5,5.6
영국,2001,27915,2.7,80.9,270939,324926,16.53,19.83,47417,46.803,32.4,32.2,61.6,72.6,4.7
영국,2002,30393,2.2,82.6,278399,337949,15.64,18.99,54959,49.575,31.4,32.3,61.8,72.6,5
영국,2003,34873,3.3,84.5,305005,381754,14.87,18.61,56350,48.676,31.1,33.8,61.9,72.8,4.8
영국,2004,40706,2.3,86.7,345504,456569,14.32,18.93,62138,52.002,32.2,33.9,61.9,73,4.6
영국,2005,42580,3,89,380961,488959,15.04,19.31,59135,52.335,32.5,33.9,62.3,72.9,4.8
영국,2006,44535,2.7,91.5,450853,560523,16.66,20.71,63824,51.337,32.7,34,62.7,72.8,5.4
영국,2007,50098,2.4,94,442478,625864,14.3,20.23,77743,53.06,32.8,34.1,62.5,72.7,5.3
영국,2008,46574,-0.3,96.9,464247,638779,15.89,21.87,64738,65.699,32.1,32.8,62.8,72.6,5.6
영국,2009,38110,-4.1,98.4,353627,484216,14.66,20.07,79618,78.771,31.1,32.4,62.6,70.9,7.5
