국가별,시점,부채비율
네덜란드,2012,79.479
네덜란드,2013,78.936
네덜란드,2014,83.333
네덜란드,2015,79.617
네덜란드,2016,77.633
네덜란드,2017,70.868
네덜란드,2018,66.03
네덜란드,2019,62.242
노르웨이,2000,32.817
노르웨이,2001,31.882
노르웨이,2002,39.189
노르웨이,2003,48.511
노르웨이,2004,50.362
노르웨이,2005,47.38
노르웨이,2006,58.269
노르웨이,2007,56.084
노르웨이,2008,54.776
노르웨이,2009,48.837
노르웨이,2010,49.232
노르웨이,2011,34.721
노르웨이,2012,35.875
노르웨이,2013,36.462
노르웨이,2014,34.72
노르웨이,2015,40.221
노르웨이,2016,44.258
노르웨이,2017,44.665
노르웨이,2018,45.341
노르웨이,2019,46.687
노르웨이,2020,53.521
폴란드,2000,45.949
폴란드,2001,44.573
폴란드,2002,54.021
폴란드,2003,56.205
폴란드,2004,53.772
폴란드,2005,55.252
폴란드,2006,54.962
폴란드,2007,51.555
폴란드,2008,53.877
폴란드,2009,57.184
폴란드,2010,61.682
폴란드,2011,62.176
폴란드,2012,65.554
폴란드,2013,66.448
폴란드,2014,71.438
폴란드,2015,70.21
폴란드,2016,73.006
폴란드,2017,68.715
폴란드,2018,66.759
폴란드,2019,63.315
폴란드,2020,77.224
포르투갈,2000,67.711
포르투갈,2001,69.682
포르투갈,2002,71.819
포르투갈,2003,75.641
포르투갈,2004,80.575
포르투갈,2005,83.866
포르투갈,2006,82.982
포르투갈,2007,80.512
포르투갈,2008,84.499
포르투갈,2009,97.632
포르투갈,2010,105.668
포르투갈,2011,109.88
포르투갈,2012,137.316
포르투갈,2013,141.066
포르투갈,2014,150.745
포르투갈,2015,148.418
포르투갈,2016,144.312
포르투갈,2017,143.131
포르투갈,2018,137.265
포르투갈,2019,135.976
포르투갈,2020,155.13
슬로바키아,2000,58.779
슬로바키아,2001,58.504
슬로바키아,2002,51.509
슬로바키아,2003,49.377
슬로바키아,2004,46.755
슬로바키아,2005,39.905
슬로바키아,2006,37.592
슬로바키아,2007,36.066
슬로바키아,2008,34.89
슬로바키아,2009,44.039
슬로바키아,2010,48.755
슬로바키아,2011,51.442
슬로바키아,2012,60.775
슬로바키아,2013,65.17
슬로바키아,2014,67.829
슬로바키아,2015,66.494
슬로바키아,2016,67.74
슬로바키아,2017,65.482
슬로바키아,2018,63.379
슬로바키아,2019,63.121
슬로바키아,2020,79.032
슬로베니아,2000,34.313
슬로베니아,2001,35.153
슬로베니아,2002,36.155
