국가별,시점,외환보유액,금제외
에스토니아,2009,3981,3972
에스토니아,2010,2568,2556
에스토니아,2011,207,195
에스토니아,2012,301,287
에스토니아,2013,314,305
에스토니아,2014,437,427
에스토니아,2015,415,406
에스토니아,2016,352,343
에스토니아,2017,345,335
에스토니아,2018,755,745
에스토니아,2019,1426,1414
에스토니아,2020,1997,1982
핀란드,1995,10438,10038
핀란드,1996,7291,6916
핀란드,1997,8738,8417
핀란드,1998,10122,9694
핀란드,1999,8677,8220
핀란드,2000,8410,7977
핀란드,2001,8419,7983
핀란드,2002,9825,9285
핀란드,2003,11173,10515
핀란드,2004,12914,12222
핀란드,2005,11332,10521
핀란드,2006,7499,6494
핀란드,2007,8385,7063
핀란드,2008,8346,6979
핀란드,2009,11455,9711
핀란드,2010,9555,7327
핀란드,2011,10345,7857
핀란드,2012,11082,8453
핀란드,2013,11268,9369
핀란드,2014,10669,8774
핀란드,2015,10016,8341
핀란드,2016,10484,8655
핀란드,2017,10508,8458
핀란드,2018,10312,8284
핀란드,2019,11424,9020
핀란드,2020,13485,10492
프랑스,1995,58512,26853
프랑스,1996,57164,26796
프랑스,1997,55929,30927
프랑스,1998,74183,44312
프랑스,1999,67927,39701
프랑스,2000,63728,37039
프랑스,2001,58637,31749
프랑스,2002,61697,28365
프랑스,2003,70762,30186
프랑스,2004,77353,35314
프랑스,2005,74360,27753
프랑스,2006,98239,42652
프랑스,2007,115717,45710
프랑스,2008,102926,33617
프랑스,2009,133078,46633
프랑스,2010,166224,55800
프랑스,2011,171896,48611
프랑스,2012,184522,54231
프랑스,2013,144926,50849
프랑스,2014,143449,49547
프랑스,2015,138164,55193
프랑스,2016,146771,56125
프랑스,2017,156401,54781
프랑스,2018,166628,66103
프랑스,2019,188865,69725
프랑스,2020,224503,76114
독일,1995,94554,85005
독일,1996,91982,83178
독일,1997,85225,77587
독일,1998,84251,74024
독일,1999,93407,61039
독일,2000,87497,56890
독일,2001,82132,51404
독일,2002,89143,51171
독일,2003,96835,50694
독일,2004,97170,48823
독일,2005,101676,45140
독일,2006,111637,41687
독일,2007,136234,44327
독일,2008,138043,43137
독일,2009,180848,59925
독일,2010,216497,62295
독일,2011,238854,66928
독일,2012,248856,67422
독일,2013,198208,67365
독일,2014,192750,62266
독일,2015,173682,58507
독일,2016,185286,59582
독일,2017,200092,59357
독일,2018,198228,59173
독일,2019,223833,59185
독일,2020,268776,63969
그리스,1995,15652,14780
그리스,1996,18335,17501
그리스,1997,13279,12595
그리스,1998,18144,17458
그리스,1999,18904,18122
그리스,2000,14178,13424
그리스,2001,6244,5154
그리스,2002,9432,8083
그리스,2003,5801,4361
그리스,2004,2708,1191
그리스,2005,2287,506
그리스,2006,2850,566
그리스,2007,3658,631
그리스,2008,3472,344
그리스,2009,5546,1555
그리스,2010,6369,1309
그리스,2011,6900,1249
그리스,2012,7255,1270
그리스,2013,5752,1420
그리스,2014,6212,1877
그리스,2015,6026,2189
그리스,2016,6893,2695
그리스,2017,7807,3096
그리스,2018,7585,2918
그리스,2019,8501,2950
그리스,2020,11944,5006
헝가리,1995,12017,11974
헝가리,1996,9757,9720
헝가리,1997,8437,8408
헝가리,1998,9348,9319
헝가리,1999,10983,10954
헝가리,2000,11218,11190
헝가리,2001,10755,10727
헝가리,2002,10383,10348
헝가리,2003,12793,12751
헝가리,2004,15965,15922
헝가리,2005,18603,18552
헝가리,2006,21590,21527
헝가리,2007,24052,23970
헝가리,2008,33874,33788
헝가리,2009,44183,44074
헝가리,2010,44988,44849
헝가리,2011,48835,48681
헝가리,2012,44670,44506
헝가리,2013,46508,46389
헝가리,2014,42019,41901
헝가리,2015,33124,33019
헝가리,2016,25824,25824
헝가리,2017,28002,27874
헝가리,2018,31361,30068
헝가리,2019,31831,30288
헝가리,2020,41353,39434
아이슬란드,1995,311,308
아이슬란드,1996,456,454
아이슬란드,1997,386,384
아이슬란드,1998,429,426
아이슬란드,1999,495,478
아이슬란드,2000,405,389
아이슬란드,2001,355,338
아이슬란드,2002,462,440
아이슬란드,2003,819,792
아이슬란드,2004,1074,1046
아이슬란드,2005,1069,1036
아이슬란드,2006,2342,2301
아이슬란드,2007,2632,2579
아이슬란드,2008,3570,3515
아이슬란드,2009,3883,3813
아이슬란드,2010,5790,5699
아이슬란드,2011,8550,8450
아이슬란드,2012,4192,4085
아이슬란드,2013,4237,4161
아이슬란드,2014,4176,4100
아이슬란드,2015,5041,4973
아이슬란드,2016,7226,7153
아이슬란드,2017,6567,6483
아이슬란드,2018,6322,6239
아이슬란드,2019,6782,6685
아이슬란드,2020,6419,6299
아일랜드,1995,8767,8630
아일랜드,1996,8348,8205
아일랜드,1997,6642,6526
아일랜드,1998,9530,9397
아일랜드,1999,5376,5325
아일랜드,2000,5408,5360
아일랜드,2001,5635,5587
아일랜드,2002,5475,5415
아일랜드,2003,4152,4079
아일랜드,2004,2908,2831
아일랜드,2005,869,779
아일랜드,2006,832,720
아일랜드,2007,926,779
아일랜드,2008,1038,871
아일랜드,2009,2154,1941
아일랜드,2010,2115,1843
아일랜드,2011,1703,1399
아일랜드,2012,1708,1386
아일랜드,2013,1635,1403
아일랜드,2014,1748,1517
아일랜드,2015,2203,1999
아일랜드,2016,3592,3368
아일랜드,2017,4413,4162
아일랜드,2018,5223,4975
아일랜드,2019,5732,5439
아일랜드,2020,7464,7098
이탈리아,1995,60475,34905
이탈리아,1996,71317,45948
이탈리아,1997,77545,55739
이탈리아,1998,54599,29888
이탈리아,1999,45302,22422
이탈리아,2000,47201,25567
이탈리아,2001,46216,24419
이탈리아,2002,55622,28603
이탈리아,2003,63264,30372
이탈리아,2004,62386,27859
이탈리아,2005,65954,25515
이탈리아,2006,75773,25662
이탈리아,2007,94325,28385
이탈리아,2008,105275,37088
이탈리아,2009,132798,45770
이탈리아,2010,158853,47684
이탈리아,2011,173301,49185
이탈리아,2012,181670,50499
이탈리아,2013,145488,50775
이탈리아,2014,142224,47689
이탈리아,2015,130557,47034
이탈리아,2016,136044,44803
이탈리아,2017,151199,48919
이탈리아,2018,152508,51331
이탈리아,2019,175256,55341
이탈리아,2020,210955,61614
라트비아,1995,580,506
라트비아,1996,729,654
라트비아,1997,833,760
라트비아,1998,873,801
라트비아,1999,944,872
라트비아,2000,919,851
라트비아,2001,1218,1149
라트비아,2002,1327,1241
라트비아,2003,1535,1432
라트비아,2004,2022,1912
라트비아,2005,2361,2232
라트비아,2006,4509,4353
라트비아,2007,5758,5553
라트비아,2008,5248,5028
라트비아,2009,6907,6632
라트비아,2010,7606,7256
라트비아,2011,6383,5997
라트비아,2012,7523,7111
라트비아,2013,7893,7596
라트비아,2014,3227,2971
라트비아,2015,3446,3220
라트비아,2016,3514,3268
라트비아,2017,4614,4337
라트비아,2018,4371,4098
라트비아,2019,4479,4155
라트비아,2020,5290,4885
리투아니아,1995,819,757
리투아니아,1996,834,772
리투아니아,1997,1063,1010
리투아니아,1998,1460,1409
리투아니아,1999,1242,1195
리투아니아,2000,1359,1312
리투아니아,2001,1669,1618
리투아니아,2002,2413,2349
리투아니아,2003,3450,3372
리투아니아,2004,3594,3513
리투아니아,2005,3816,3720
리투아니아,2006,5773,5654
리투아니아,2007,7712,7557
리투아니아,2008,6442,6280
리투아니아,2009,6626,6420
리투아니아,2010,6599,6336
리투아니아,2011,8210,7915
리투아니아,2012,8529,8218
리투아니아,2013,8072,7847
리투아니아,2014,8728,8504
리투아니아,2015,1697,1499
리투아니아,2016,2602,2386
리투아니아,2017,4450,4207
리투아니아,2018,5771,5531
리투아니아,2019,5085,4800
리투아니아,2020,4847,4493
룩셈부르크,1995,93,75
룩셈부르크,1996,90,74
룩셈부르크,1997,79,64
룩셈부르크,1999,99,77
룩셈부르크,2000,98,77
룩셈부르크,2001,127,106
룩셈부르크,2002,178,152
룩셈부르크,2003,311,280
룩셈부르크,2004,331,298
룩셈부르크,2005,279,241
룩셈부르크,2006,265,218
룩셈부르크,2007,206,144
