국가별,시점,생산자물가지수
핀란드,2017,105.2
핀란드,2018,110.2
핀란드,2019,110.7
핀란드,2020,105.6
프랑스,2000,85.7
프랑스,2001,87.5
프랑스,2002,88
프랑스,2003,88.5
프랑스,2004,90.2
프랑스,2005,92.9
프랑스,2006,95.8
프랑스,2007,97.8
프랑스,2008,102.4
프랑스,2009,97.5
프랑스,2010,100
프랑스,2011,104.6
프랑스,2012,107
프랑스,2013,107
프랑스,2014,105.5
프랑스,2015,103.8
프랑스,2016,101.5
프랑스,2017,103.9
프랑스,2018,106.4
프랑스,2019,106.9
프랑스,2020,104.8
독일,2000,82.9
독일,2001,87.6
독일,2002,86
독일,2003,88.6
독일,2004,89.7
독일,2005,92.6
독일,2006,96.3
독일,2007,97.5
독일,2008,101.5
독일,2009,98.2
독일,2010,100
독일,2011,104.1
독일,2012,105.9
독일,2013,105.7
독일,2014,105.2
독일,2015,104.6
독일,2016,103.3
독일,2017,105.3
독일,2018,107.3
독일,2019,108.3
독일,2020,107.5
그리스,2000,111.8
그리스,2001,112.9
그리스,2002,110.3
그리스,2003,104.4
그리스,2004,101
그리스,2005,100.4
그리스,2006,106.3
그리스,2007,101.1
그리스,2008,99.9
그리스,2009,98.7
그리스,2010,100
그리스,2011,102.2
그리스,2012,100.7
그리스,2013,97.7
그리스,2014,97.1
그리스,2015,95
그리스,2016,94.9
그리스,2017,96.3
그리스,2018,100.5
그리스,2019,102.7
그리스,2020,103
헝가리,2000,69.2
헝가리,2001,73.3
헝가리,2002,73.2
헝가리,2003,74.5
헝가리,2004,77.5
헝가리,2005,80.8
헝가리,2006,86.7
헝가리,2007,87.4
헝가리,2008,92.3
헝가리,2009,96.4
헝가리,2010,100
헝가리,2011,104.2
헝가리,2012,108.5
헝가리,2013,109.3
헝가리,2014,108.9
헝가리,2015,107.9
헝가리,2016,106
헝가리,2017,109.5
헝가리,2018,115.6
헝가리,2019,118
헝가리,2020,123
아이슬란드,2006,60.2
아이슬란드,2007,61.3
아이슬란드,2008,80.4
아이슬란드,2009,89.5
아이슬란드,2010,100
아이슬란드,2011,109.2
아이슬란드,2012,110.3
아이슬란드,2013,105.5
아이슬란드,2014,104.8
아이슬란드,2015,110.2
아이슬란드,2016,101.2
아이슬란드,2017,96.6
아이슬란드,2018,103.2
아일랜드,2000,113.8
아일랜드,2001,115.7
아일랜드,2002,114.4
아일랜드,2003,105.1
아일랜드,2004,102.6
아일랜드,2005,102.5
아일랜드,2006,103.3
아일랜드,2007,101.3
아일랜드,2008,99.9
아일랜드,2009,100.3
아일랜드,2010,100
아일랜드,2011,100.7
아일랜드,2012,102.5
아일랜드,2013,102.1
아일랜드,2014,100.8
아일랜드,2015,106.2
아일랜드,2016,104.9
아일랜드,2017,104.7
아일랜드,2018,102.9
아일랜드,2019,101.4
아일랜드,2020,92.2
이탈리아,2000,82.9
이탈리아,2001,84.3
이탈리아,2002,84.3
이탈리아,2003,85.1
이탈리아,2004,87
이탈리아,2005,90.1
이탈리아,2006,94.1
이탈리아,2007,97
이탈리아,2008,101.9
이탈리아,2009,97.1
이탈리아,2010,100
