국가별,시점,경제활동참가율 (%)
에스토니아,2009,60.7
에스토니아,2010,60.5
에스토니아,2011,61.3
에스토니아,2012,61.3
에스토니아,2013,61.3
에스토니아,2014,61.1
에스토니아,2015,62.1
에스토니아,2016,62.9
에스토니아,2017,63.7
에스토니아,2018,63.8
에스토니아,2019,63.7
에스토니아,2020,63.6
핀란드,2000,63.2
핀란드,2001,63.3
핀란드,2002,63.2
핀란드,2003,62.8
핀란드,2004,62.1
핀란드,2005,60.7
핀란드,2006,61
핀란드,2007,61.2
핀란드,2008,61.5
핀란드,2009,60.5
핀란드,2010,60
핀란드,2011,59.9
핀란드,2012,59.8
핀란드,2013,59.1
핀란드,2014,58.9
핀란드,2015,58.9
핀란드,2016,58.6
핀란드,2017,58.9
핀란드,2018,59.4
핀란드,2019,59.4
핀란드,2020,59
프랑스,2000,55.7
프랑스,2001,55.5
프랑스,2002,55.7
프랑스,2003,56.4
프랑스,2004,56.3
프랑스,2005,56.2
프랑스,2006,56.2
프랑스,2007,56.3
프랑스,2008,56.4
프랑스,2009,56.6
프랑스,2010,56.5
프랑스,2011,56.3
프랑스,2012,56.5
프랑스,2013,56.4
프랑스,2014,56.1
프랑스,2015,56
프랑스,2016,55.8
프랑스,2017,55.6
프랑스,2018,55.6
프랑스,2019,55.3
프랑스,2020,54.5
독일,2000,57.5
독일,2001,57.5
독일,2002,57.3
독일,2003,57.3
독일,2004,56.9
독일,2005,58.4
독일,2006,59
독일,2007,59.2
독일,2008,59.2
독일,2009,59.4
독일,2010,59.4
독일,2011,60.1
독일,2012,60.1
독일,2013,60.4
독일,2014,60.4
독일,2015,60.2
독일,2016,61
독일,2017,61.2
독일,2018,61.3
독일,2019,61.9
독일,2020,61.6
그리스,2000,52.3
그리스,2001,51.5
그리스,2002,51.8
그리스,2003,52.2
그리스,2004,53
그리스,2005,52.9
그리스,2006,53.1
그리스,2007,52.9
그리스,2008,53
그리스,2009,53.5
그리스,2010,53.5
그리스,2011,52.7
그리스,2012,52.3
그리스,2013,52
그리스,2014,51.8
그리스,2015,52
그리스,2016,52.2
그리스,2017,52.1
그리스,2018,51.9
그리스,2019,52
그리스,2020,51
헝가리,2000,49.6
헝가리,2001,48.9
헝가리,2002,48.9
헝가리,2003,49.7
헝가리,2004,49.5
헝가리,2005,50.2
헝가리,2006,50.7
헝가리,2007,50.3
헝가리,2008,49.9
헝가리,2009,49.9
헝가리,2010,50.3
헝가리,2011,50.7
헝가리,2012,51.7
헝가리,2013,52.2
헝가리,2014,53.7
헝가리,2015,54.8
헝가리,2016,55.7
헝가리,2017,56.3
헝가리,2018,56.7
헝가리,2019,57.1
헝가리,2020,56.9
아이슬란드,2000,83.9
아이슬란드,2001,83.5
아이슬란드,2002,82.8
아이슬란드,2003,83.1
아이슬란드,2004,81.9
아이슬란드,2005,81.4
아이슬란드,2006,82.5
아이슬란드,2007,82.7
아이슬란드,2008,81.9
아이슬란드,2009,80.3
아이슬란드,2010,80.4
아이슬란드,2011,79.8
아이슬란드,2012,79.9
아이슬란드,2013,80.7
아이슬란드,2014,82.1
아이슬란드,2015,83
아이슬란드,2016,83.8
아이슬란드,2017,82.9
아이슬란드,2018,81.8
아이슬란드,2019,81.2
아이슬란드,2020,79
아일랜드,2000,59
아일랜드,2001,59.2
아일랜드,2002,59.6
아일랜드,2003,59.7
아일랜드,2004,60.1
아일랜드,2005,62
아일랜드,2006,63.2
아일랜드,2007,66.6
아일랜드,2008,65.9
아일랜드,2009,64.1
아일랜드,2010,62.6
아일랜드,2011,62
아일랜드,2012,61.6
아일랜드,2013,62
아일랜드,2014,61.8
아일랜드,2015,61.8
아일랜드,2016,62.2
아일랜드,2017,62
아일랜드,2018,62.2
아일랜드,2019,62.3
아일랜드,2020,61.1
이탈리아,2000,48.2
이탈리아,2001,48.3
이탈리아,2002,48.8
이탈리아,2003,49.3
이탈리아,2004,49.7
이탈리아,2005,49.1
이탈리아,2006,49.1
이탈리아,2007,48.8
이탈리아,2008,49.1
이탈리아,2009,48.5
이탈리아,2010,48.2
이탈리아,2011,48.1
이탈리아,2012,49.1
이탈리아,2013,48.8
이탈리아,2014,49.1
이탈리아,2015,49
이탈리아,2016,49.5
이탈리아,2017,49.8
이탈리아,2018,49.9
이탈리아,2019,49.9
이탈리아,2020,48.5
라트비아,2000,56.2
라트비아,2001,56.6
라트비아,2002,58
라트비아,2003,57.1
라트비아,2004,57.4
라트비아,2005,57.4
라트비아,2006,59.1
라트비아,2007,60.3
라트비아,2008,61.6
라트비아,2009,60.1
라트비아,2010,58.9
라트비아,2011,58.5
라트비아,2012,59.7
라트비아,2013,59.4
라트비아,2014,59.3
라트비아,2015,60.1
라트비아,2016,60.4
라트비아,2017,60.8
라트비아,2018,61.4
라트비아,2019,61.2
라트비아,2020,61.7
리투아니아,2000,60.3
리투아니아,2001,59.1
리투아니아,2002,58.5
리투아니아,2003,60.2
리투아니아,2004,57.2
리투아니아,2005,56.3
리투아니아,2006,55.3
리투아니아,2007,55.6
리투아니아,2008,55.8
리투아니아,2009,56.6
리투아니아,2010,56.8
리투아니아,2011,57.4
리투아니아,2012,57.7
리투아니아,2013,58
리투아니아,2014,58.9
리투아니아,2015,59.2
리투아니아,2016,60.3
리투아니아,2017,60.6
리투아니아,2018,61.6
리투아니아,2019,62.1
리투아니아,2020,62.6
룩셈부르크,2000,53.4
룩셈부르크,2001,53.8
룩셈부르크,2002,54.8
룩셈부르크,2003,54.2
룩셈부르크,2004,55
룩셈부르크,2005,55.6
룩셈부르크,2006,55
룩셈부르크,2007,55.9
룩셈부르크,2008,56
룩셈부르크,2009,58.2
룩셈부르크,2010,57.7
룩셈부르크,2011,57.6
룩셈부르크,2012,58.8
룩셈부르크,2013,59.4
룩셈부르크,2014,60.1
룩셈부르크,2015,60
룩셈부르크,2016,58.9
룩셈부르크,2017,59.3
룩셈부르크,2018,59.9
룩셈부르크,2019,60.7
룩셈부르크,2020,60.8
네덜란드,2000,63.5
네덜란드,2001,64.2
네덜란드,2002,64.9
네덜란드,2003,64.8
네덜란드,2004,64.9
네덜란드,2005,63.4
네덜란드,2006,63.6
네덜란드,2007,64.5
네덜란드,2008,65.3
네덜란드,2009,65.4
네덜란드,2010,64.8
네덜란드,2011,64.5
네덜란드,2012,65
네덜란드,2013,65
네덜란드,2014,64.4
네덜란드,2015,64.4
네덜란드,2016,64.1
네덜란드,2017,64
네덜란드,2018,64.3
네덜란드,2019,64.8
네덜란드,2020,64.6
노르웨이,2000,73.8
노르웨이,2001,73.9
노르웨이,2002,74.1
노르웨이,2003,72.8
노르웨이,2004,72.6
노르웨이,2005,72.2
노르웨이,2006,71.9
노르웨이,2007,72.6
노르웨이,2008,73.8
노르웨이,2009,72.7
노르웨이,2010,71.8
노르웨이,2011,71.3
노르웨이,2012,71.4
노르웨이,2013,71.1
노르웨이,2014,64.9
노르웨이,2015,65
노르웨이,2016,64.5
노르웨이,2017,63.7
노르웨이,2018,64.1
