국가별,시점,국민부담률
헝가리,2013,38.6
헝가리,2014,38.6
헝가리,2015,38.9
헝가리,2016,39.4
헝가리,2017,38.3
헝가리,2018,37.5
헝가리,2019,35.8
아이슬란드,2000,36
아이슬란드,2001,34.2
아이슬란드,2002,33.9
아이슬란드,2003,35.3
아이슬란드,2004,36.3
아이슬란드,2005,39.4
아이슬란드,2006,40.1
아이슬란드,2007,38.6
아이슬란드,2008,34.5
아이슬란드,2009,31.2
아이슬란드,2010,32.3
아이슬란드,2011,33.3
아이슬란드,2012,34
아이슬란드,2013,34.5
아이슬란드,2014,37.3
아이슬란드,2015,35.4
아이슬란드,2016,50.8
아이슬란드,2017,37.6
아이슬란드,2018,37.2
아이슬란드,2019,36.1
아일랜드,2000,30.8
아일랜드,2001,28.7
아일랜드,2002,27.9
아일랜드,2003,28.5
아일랜드,2004,29.6
아일랜드,2005,30.1
아일랜드,2006,31.4
아일랜드,2007,30.8
아일랜드,2008,29
아일랜드,2009,28
아일랜드,2010,27.7
아일랜드,2011,28.4
아일랜드,2012,28.6
아일랜드,2013,28.9
아일랜드,2014,29
아일랜드,2015,23.4
아일랜드,2016,23.6
아일랜드,2017,22.8
아일랜드,2018,22.7
아일랜드,2019,22.7
이탈리아,2000,40.5
이탈리아,2001,40.1
이탈리아,2002,39.6
이탈리아,2003,40
이탈리아,2004,39.2
이탈리아,2005,39
이탈리아,2006,40.5
이탈리아,2007,41.6
이탈리아,2008,41.6
이탈리아,2009,42
이탈리아,2010,41.7
이탈리아,2011,41.6
이탈리아,2012,43.6
이탈리아,2013,43.8
이탈리아,2014,43.3
이탈리아,2015,43
이탈리아,2016,42.2
이탈리아,2017,41.9
이탈리아,2018,41.9
이탈리아,2019,42.4
라트비아,2000,29.1
라트비아,2001,28.2
라트비아,2002,27.9
라트비아,2003,27.5
라트비아,2004,27.7
라트비아,2005,28
라트비아,2006,28.8
라트비아,2007,28.3
라트비아,2008,28
라트비아,2009,28.2
라트비아,2010,28.7
라트비아,2011,28.3
라트비아,2012,29.1
라트비아,2013,29.4
라트비아,2014,29.7
라트비아,2015,30
라트비아,2016,31.2
라트비아,2017,31.4
라트비아,2018,31.2
라트비아,2019,31.2
리투아니아,2000,30.8
리투아니아,2001,29.3
리투아니아,2002,29
리투아니아,2003,28.6
리투아니아,2004,29
리투아니아,2005,29.2
리투아니아,2006,30.1
리투아니아,2007,30
리투아니아,2008,30.6
리투아니아,2009,30.2
리투아니아,2010,28.4
리투아니아,2011,27.2
리투아니아,2012,27
리투아니아,2013,26.8
리투아니아,2014,27.5
리투아니아,2015,28.7
리투아니아,2016,29.7
리투아니아,2017,29.5
리투아니아,2018,30.2
리투아니아,2019,30.3
룩셈부르크,2000,36.9
룩셈부르크,2001,37.4
룩셈부르크,2002,37.3
룩셈부르크,2003,37.5
룩셈부르크,2004,36.6
룩셈부르크,2005,37.7
룩셈부르크,2006,35.7
룩셈부르크,2007,36.2
룩셈부르크,2008,36.8
룩셈부르크,2009,38.3
룩셈부르크,2010,37.5
룩셈부르크,2011,37.1
룩셈부르크,2012,38.3
룩셈부르크,2013,38.2
룩셈부르크,2014,37.5
룩셈부르크,2015,37
룩셈부르크,2016,36.8
룩셈부르크,2017,37.6
룩셈부르크,2018,39.7
룩셈부르크,2019,39.2
네덜란드,2000,36.9
네덜란드,2001,35.6
네덜란드,2002,35
네덜란드,2003,34.8
네덜란드,2004,34.8
네덜란드,2005,35
네덜란드,2006,36
네덜란드,2007,35.7
네덜란드,2008,35.9
네덜란드,2009,34.9
네덜란드,2010,35.7
네덜란드,2011,35.4
네덜란드,2012,35.6
네덜란드,2013,36.1
네덜란드,2014,37
네덜란드,2015,37
네덜란드,2016,38.4
네덜란드,2017,38.7
네덜란드,2018,38.8
네덜란드,2019,39.3
노르웨이,2000,41.7
노르웨이,2001,41.9
노르웨이,2002,42.2
노르웨이,2003,41.6
노르웨이,2004,42.3
노르웨이,2005,42.5
노르웨이,2006,42.7
노르웨이,2007,42
노르웨이,2008,41.3
노르웨이,2009,41.1
노르웨이,2010,41.8
노르웨이,2011,41.9
노르웨이,2012,41.4
노르웨이,2013,39.8
노르웨이,2014,38.7
노르웨이,2015,38.4
노르웨이,2016,38.9
노르웨이,2017,38.8
노르웨이,2018,39.6
노르웨이,2019,39.9
폴란드,2000,32.9
폴란드,2001,32.9
폴란드,2002,33
폴란드,2003,32.5
폴란드,2004,31.9
폴란드,2005,33
폴란드,2006,33.6
폴란드,2007,34.6
폴란드,2008,34.1
폴란드,2009,31.2
폴란드,2010,31.4
폴란드,2011,31.8
폴란드,2012,32
폴란드,2013,31.9
폴란드,2014,31.9
폴란드,2015,32.4
폴란드,2016,33.4
폴란드,2017,34.1
폴란드,2018,35.2
폴란드,2019,35.4
포르투갈,2000,31.1
포르투갈,2001,30.8
포르투갈,2002,31.3
포르투갈,2003,31.4
포르투갈,2004,30.2
포르투갈,2005,30.8
포르투갈,2006,31.3
포르투갈,2007,31.8
포르투갈,2008,31.7
포르투갈,2009,29.9
포르투갈,2010,30.5
포르투갈,2011,32.3
포르투갈,2012,31.8
포르투갈,2013,34
포르투갈,2014,34.2
포르투갈,2015,34.4
포르투갈,2016,34.1
포르투갈,2017,34.1
포르투갈,2018,34.8
포르투갈,2019,34.8
슬로바키아,2000,33.6
슬로바키아,2001,32.7
슬로바키아,2002,32.8
슬로바키아,2003,32.6
슬로바키아,2004,31.5
슬로바키아,2005,31.3
슬로바키아,2006,29.3
슬로바키아,2007,29.2
슬로바키아,2008,29.1
슬로바키아,2009,28.9
슬로바키아,2010,28.1
슬로바키아,2011,29.1
슬로바키아,2012,28.8
슬로바키아,2013,31
슬로바키아,2014,31.9
슬로바키아,2015,32.7
슬로바키아,2016,33.3
슬로바키아,2017,34.2
슬로바키아,2018,34.3
슬로바키아,2019,34.7
슬로베니아,2000,37.7
슬로베니아,2001,37.8
슬로베니아,2002,38.3
슬로베니아,2003,38.4
슬로베니아,2004,38.5
슬로베니아,2005,39.2
슬로베니아,2006,38.7
슬로베니아,2007,38.1
슬로베니아,2008,37.3
슬로베니아,2009,37.1
슬로베니아,2010,37.8
슬로베니아,2011,37.4
슬로베니아,2012,37.7
슬로베니아,2013,37.2
슬로베니아,2014,37.2
슬로베니아,2015,37.3
슬로베니아,2016,37.4
슬로베니아,2017,37.1
슬로베니아,2018,37.4
슬로베니아,2019,37.7
스페인,2000,33.1
스페인,2001,32.8
스페인,2002,33.2
스페인,2003,33.1
스페인,2004,34
스페인,2005,35.2
스페인,2006,36
스페인,2007,36.4
스페인,2008,32.1
스페인,2009,29.7
스페인,2010,31.3
스페인,2011,31.2
스페인,2012,32.4
스페인,2013,33.1
스페인,2014,33.9
스페인,2015,33.8
스페인,2016,33.6
스페인,2017,33.9
스페인,2018,34.6
스페인,2019,34.6
스웨덴,2000,48.8
스웨덴,2001,46.7
스웨덴,2002,45
스웨덴,2003,45.4
스웨덴,2004,45.7
스웨덴,2005,46.7
스웨덴,2006,46.1
스웨덴,2007,45.1
스웨덴,2008,44.1
스웨덴,2009,43.9
스웨덴,2010,43.1
스웨덴,2011,42.1
스웨덴,2012,42.3
스웨덴,2013,42.7
스웨덴,2014,42.4
스웨덴,2015,42.9
스웨덴,2016,44.3
스웨덴,2017,44.3
스웨덴,2018,43.9
스웨덴,2019,42.9
스위스,2000,27.6
스위스,2001,27
스위스,2002,27.6
스위스,2003,26.9
스위스,2004,26.6
스위스,2005,26.6
스위스,2006,26.4
스위스,2007,26.2
스위스,2008,26.6
스위스,2009,27
스위스,2010,26.6
스위스,2011,26.9
스위스,2012,26.9
스위스,2013,27
스위스,2014,26.9
스위스,2015,27.6
스위스,2016,27.7
스위스,2017,28.4
스위스,2018,28
스위스,2019,28.5
영국,2000,32.8
영국,2001,32.4
영국,2002,31.4
영국,2003,31.1
영국,2004,32.2
영국,2005,32.5
영국,2006,32.7
영국,2007,32.8
영국,2008,32.1
영국,2009,31.1
영국,2010,32.1
영국,2011,32.7
영국,2012,32.1
영국,2013,32.1
영국,2014,32.1
영국,2015,32.4
영국,2016,32.6
영국,2017,32.8
영국,2018,32.9
영국,2019,33
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오스트레일리아,2000,30.5
오스트레일리아,2001,28.9
