국가별,시점,인당_국민총소득
독일,2014,48640
독일,2015,41971
독일,2016,43233
독일,2017,45496
독일,2018,48954
독일,2019,47488
독일,2020,46721
그리스,2006,23982
그리스,2007,27903
그리스,2008,31150
그리스,2009,29443
그리스,2010,26660
그리스,2011,25375
그리스,2012,22639
그리스,2013,22202
그리스,2014,22126
그리스,2015,18303
그리스,2016,18062
그리스,2017,18785
그리스,2018,19923
그리스,2019,19444
헝가리,2000,4352
헝가리,2001,4967
헝가리,2002,6272
헝가리,2003,7941
헝가리,2004,9649
헝가리,2005,10498
헝가리,2006,10782
헝가리,2007,12903
헝가리,2008,14784
헝가리,2009,12556
헝가리,2010,12689
헝가리,2011,13639
헝가리,2012,12478
헝가리,2013,13380
헝가리,2014,13736
헝가리,2015,12214
헝가리,2016,12839
헝가리,2017,14117
헝가리,2018,15920
헝가리,2019,16441
아이슬란드,2000,30981
아이슬란드,2001,28128
아이슬란드,2002,32711
아이슬란드,2003,39375
아이슬란드,2004,45812
아이슬란드,2005,54303
아이슬란드,2006,53339
아이슬란드,2007,66375
아이슬란드,2008,45273
아이슬란드,2009,33393
아이슬란드,2010,34715
아이슬란드,2011,39718
아이슬란드,2012,39566
아이슬란드,2013,46723
아이슬란드,2014,51423
아이슬란드,2015,50097
아이슬란드,2016,59681
아이슬란드,2017,71670
아이슬란드,2018,74027
아이슬란드,2019,72659
아일랜드,2000,23011
아일랜드,2001,24271
아일랜드,2002,27447
아일랜드,2003,35578
아일랜드,2004,41245
아일랜드,2005,44270
아일랜드,2006,48087
아일랜드,2007,53942
아일랜드,2008,53887
아일랜드,2009,43856
아일랜드,2010,40853
아일랜드,2011,41973
아일랜드,2012,39355
아일랜드,2013,43592
아일랜드,2014,47251
아일랜드,2015,48167
아일랜드,2016,51994
아일랜드,2017,56710
아일랜드,2018,63066
아일랜드,2019,63159
이탈리아,2000,20099
이탈리아,2001,20456
이탈리아,2002,22123
이탈리아,2003,27214
이탈리아,2004,31066
이탈리아,2005,31922
이탈리아,2006,33406
이탈리아,2007,37652
이탈리아,2008,40340
이탈리아,2009,37050
이탈리아,2010,35895
이탈리아,2011,38366
이탈리아,2012,34812
이탈리아,2013,35528
이탈리아,2014,35745
이탈리아,2015,30097
이탈리아,2016,31010
이탈리아,2017,32430
이탈리아,2018,34867
이탈리아,2019,33400
이탈리아,2020,31523
라트비아,2000,3330
라트비아,2001,3551
라트비아,2002,4099
라트비아,2003,5071
라트비아,2004,6189
라트비아,2005,7453
라트비아,2006,9428
라트비아,2007,13686
라트비아,2008,16259
라트비아,2009,13128
라트비아,2010,11379
라트비아,2011,13539
라트비아,2012,13595
라트비아,2013,14851
라트비아,2014,15519
라트비아,2015,13571
라트비아,2016,14186
라트비아,2017,15534
라트비아,2018,17545
라트비아,2019,17633
리히텐슈타인,2000,73373
리히텐슈타인,2001,66811
리히텐슈타인,2002,70028
리히텐슈타인,2003,76883
리히텐슈타인,2004,82979
리히텐슈타인,2005,90042
리히텐슈타인,2006,100268
리히텐슈타인,2007,117002
리히텐슈타인,2008,128835
리히텐슈타인,2009,108314
리히텐슈타인,2010,119067
리히텐슈타인,2011,124861
리히텐슈타인,2012,103996
리히텐슈타인,2013,138348
리히텐슈타인,2014,144387
리히텐슈타인,2015,137793
리히텐슈타인,2016,158967
리히텐슈타인,2017,178512
리히텐슈타인,2018,186046
리투아니아,2000,3232
리투아니아,2001,3475
리투아니아,2002,4096
리투아니아,2003,5364
리투아니아,2004,6548
리투아니아,2005,7689
리투아니아,2006,8970
리투아니아,2007,11719
리투아니아,2008,14407
리투아니아,2009,12071
리투아니아,2010,11808
리투아니아,2011,13706
리투아니아,2012,13654
리투아니아,2013,15120
리투아니아,2014,16140
리투아니아,2015,13617
리투아니아,2016,14357
리투아니아,2017,16138
리투아니아,2018,18574
리투아니아,2019,19111
룩셈부르크,2000,43203
룩셈부르크,2001,43481
룩셈부르크,2002,44999
룩셈부르크,2003,53881
룩셈부르크,2004,70295
룩셈부르크,2005,75330
룩셈부르크,2006,74150
룩셈부르크,2007,92752
룩셈부르크,2008,95034
룩셈부르크,2009,70073
룩셈부르크,2010,75569
룩셈부르크,2011,79779
룩셈부르크,2012,74240
룩셈부르크,2013,76001
