국가별,시점,소비자물가지수
포르투갈,2004,89.7
포르투갈,2005,91.8
포르투갈,2006,94.6
포르투갈,2007,96.9
포르투갈,2008,99.4
포르투갈,2009,98.6
포르투갈,2010,100
포르투갈,2011,103.7
포르투갈,2012,106.5
포르투갈,2013,106.8
포르투갈,2014,106.5
포르투갈,2015,107
포르투갈,2016,107.7
포르투갈,2017,109.2
포르투갈,2018,110.3
포르투갈,2019,110.6
포르투갈,2020,110.6
슬로바키아,2000,65.4
슬로바키아,2001,70.2
슬로바키아,2002,72.4
슬로바키아,2003,78.6
슬로바키아,2004,84.5
슬로바키아,2005,86.8
슬로바키아,2006,90.7
슬로바키아,2007,93.2
슬로바키아,2008,97.5
슬로바키아,2009,99.1
슬로바키아,2010,100
슬로바키아,2011,103.9
슬로바키아,2012,107.7
슬로바키아,2013,109.2
슬로바키아,2014,109.1
슬로바키아,2015,108.7
슬로바키아,2016,108.2
슬로바키아,2017,109.6
슬로바키아,2018,112.3
슬로바키아,2019,115.3
슬로바키아,2020,117.6
슬로베니아,2000,66.5
슬로베니아,2001,72.1
슬로베니아,2002,77.5
슬로베니아,2003,81.8
슬로베니아,2004,84.7
슬로베니아,2005,86.8
슬로베니아,2006,89
슬로베니아,2007,92.2
슬로베니아,2008,97.4
슬로베니아,2009,98.2
슬로베니아,2010,100
슬로베니아,2011,101.8
슬로베니아,2012,104.4
슬로베니아,2013,106.3
슬로베니아,2014,106.5
슬로베니아,2015,105.9
슬로베니아,2016,105.9
슬로베니아,2017,107.4
슬로베니아,2018,109.3
슬로베니아,2019,111.1
슬로베니아,2020,111
스페인,2000,75.9
스페인,2001,78.7
스페인,2002,81.1
스페인,2003,83.5
스페인,2004,86.1
스페인,2005,89
스페인,2006,92.1
스페인,2007,94.7
스페인,2008,98.5
스페인,2009,98.2
스페인,2010,100
스페인,2011,103.2
스페인,2012,105.7
스페인,2013,107.2
스페인,2014,107
스페인,2015,106.5
스페인,2016,106.3
스페인,2017,108.4
스페인,2018,110.2
스페인,2019,111
스페인,2020,110.6
스웨덴,2000,86.2
스웨덴,2001,88.3
스웨덴,2002,90.2
스웨덴,2003,91.9
스웨덴,2004,92.3
스웨덴,2005,92.7
스웨덴,2006,94
스웨덴,2007,96
스웨덴,2008,99.3
스웨덴,2009,98.9
스웨덴,2010,100
스웨덴,2011,103
스웨덴,2012,103.9
스웨덴,2013,103.8
스웨덴,2014,103.6
스웨덴,2015,103.6
스웨덴,2016,104.6
스웨덴,2017,106.5
스웨덴,2018,108.6
스웨덴,2019,110.5
스웨덴,2020,111.1
스위스,2000,91.7
스위스,2001,92.7
스위스,2002,93.3
스위스,2003,93.8
스위스,2004,94.6
스위스,2005,95.7
스위스,2006,96.7
스위스,2007,97.4
스위스,2008,99.8
스위스,2009,99.3
스위스,2010,100
스위스,2011,100.2
스위스,2012,99.5
스위스,2013,99.3
스위스,2014,99.3
스위스,2015,98.2
스위스,2016,97.7
스위스,2017,98.3
스위스,2018,99.2
스위스,2019,99.5
스위스,2020,98.8
영국,2000,81.5
영국,2001,82.7
영국,2002,84
영국,2003,85.1
영국,2004,86.3
영국,2005,88.1
영국,2006,90.3
영국,2007,92.4
영국,2008,95.7
영국,2009,97.6
영국,2010,100
영국,2011,103.9
영국,2012,106.5
영국,2013,109
영국,2014,110.6
영국,2015,111
영국,2016,112.1
영국,2017,114.9
영국,2018,117.6
영국,2019,119.6
영국,2020,120.8
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,2000,74.4
오스트레일리아,2001,77.7
오스트레일리아,2002,80
오스트레일리아,2003,82.2
오스트레일리아,2004,84.1
오스트레일리아,2005,86.3
오스트레일리아,2006,89.4
오스트레일리아,2007,91.5
오스트레일리아,2008,95.5
오스트레일리아,2009,97.2
오스트레일리아,2010,100
오스트레일리아,2011,103.3
오스트레일리아,2012,105.1
오스트레일리아,2013,107.7
오스트레일리아,2014,110.4
오스트레일리아,2015,112
오스트레일리아,2016,113.5
오스트레일리아,2017,115.7
오스트레일리아,2018,117.9
오스트레일리아,2019,119.8
오스트레일리아,2020,120.8
뉴질랜드,2000,77
뉴질랜드,2001,79
뉴질랜드,2002,81.1
뉴질랜드,2003,82.6
뉴질랜드,2004,84.4
뉴질랜드,2005,87
뉴질랜드,2006,89.9
뉴질랜드,2007,92.1
뉴질랜드,2008,95.7
뉴질랜드,2009,97.7
뉴질랜드,2010,100
뉴질랜드,2011,104
뉴질랜드,2012,105.1
뉴질랜드,2013,106.3
뉴질랜드,2014,107.6
뉴질랜드,2015,107.9
뉴질랜드,2016,108.6
뉴질랜드,2017,110.7
뉴질랜드,2018,112.4
뉴질랜드,2019,114.2
뉴질랜드,2020,116.2
