국가별,시점,인당_GDP,부채비율,실업률,상품및서비스수입,상품및서비스수출,정치적안정성,규제의질,경상수지
대한민국,2012,25466.76052,32.2,3.2,2.567590928,5.793410763,55,77,3.816453798
대한민국,2013,27182.73431,35.4,3.1,1.639916119,3.820237448,57,80,5.636064381
대한민국,2014,29249.57522,37.3,3.5,1.263177947,2.095563279,50,83,5.593787026
대한민국,2015,28732.23108,39.5,3.55,2.112654337,0.234197142,54,83,7.171545825
대한민국,2016,29288.87044,39.9,3.65,5.174639537,2.372289067,52,84,6.527761018
대한민국,2017,31616.8434,36.3,3.65,8.856982109,2.480344938,60,82,4.632725578
대한민국,2018,33422.94421,36.6,3.82,1.712882232,3.975936885,66,83,4.49121355
대한민국,2019,31936.79635,36.4,3.75,-1.909360168,0.238336269,64,82,3.61361701
대한민국,2020,31631.46945,42.6,4.07,-3.329589573,-1.841543404,63,81,4.595878436
덴마크,2005,48799.8256,37.4,4.83,11.40134821,7.820181003,85,98,4.162095985
덴마크,2006,52026.99951,31.5,3.9,13.96515649,10.33762146,85,99,3.344701402
덴마크,2007,58487.05497,27.3,3.8,5.837965767,3.653556939,91,100,1.515705688
덴마크,2008,64322.0635,33.3,3.68,4.770228409,3.872017151,86,99,2.946877469
덴마크,2009,58163.27688,40.2,6.41,-11.94357904,-9.224390015,85,100,3.524908301
덴마크,2010,58041.39844,42.6,7.75,0.54066457,2.940134566,86,100,6.537677019
덴마크,2011,61753.64713,46.1,7.77,7.443614298,7.194875948,87,100,6.593530929
덴마크,2012,58507.50805,44.9,7.8,2.708967023,1.1622057,76,98,6.254334947
덴마크,2013,61191.1937,44,7.38,1.4706544,1.611400127,80,98,7.766838829
덴마크,2014,62548.98473,44.3,6.93,3.896705272,3.12885309,79,94,8.882124143
덴마크,2015,53254.85637,39.8,6.28,4.560764216,3.577370534,77,95,8.244292051
덴마크,2016,54663.99837,37.2,5.99,3.662224686,4.111477232,75,92,7.76485064
덴마크,2017,57610.09818,35.9,5.83,4.183152079,4.813618339,76,92,8.049506064
덴마크,2018,61591.92887,34,5.13,5.092489123,3.352475503,82,94,7.21946482
덴마크,2019,59775.7351,33.6,5.02,2.956109752,5.02855998,83,92,8.789857397
덴마크,2020,61063.31643,42.1,5.66,-4.079736658,-7.006719859,82,98,8.130689821
도미니카 공화국,2005,3932.784407,32.49,6.59,8.719201651,-3.487512531,38,42,-1.321805808
도미니카 공화국,2006,4109.033591,34.31,5.66,6.040604375,-1.326232129,42,47,-3.398665316
도미니카 공화국,2007,4707.795052,31.16,5.16,4.558695867,1.067497311,40,48,-4.927281478
도미니카 공화국,2008,5087.983213,32.03,4.76,5.481665147,-4.617873407,43,49,-9.392063108
도미니카 공화국,2009,5039.403122,36.37,5.47,-10.52602626,-8.473314156,45,47,-4.771758586
도미니카 공화국,2010,5555.392014,36.57,5.21,18.70320816,16.06457245,45,49,-7.470269004
도미니카 공화국,2011,5913.426649,37.85,6.09,0.112526633,7.297560975,47,46,-7.511147203
도미니카 공화국,2012,6110.366576,41.27,6.72,1.522897919,5.547130363,55,49,-6.543291722
도미니카 공화국,2013,6238.132367,45.07,7.35,-2.185870441,9.048404258,55,51,-4.096699671
도미니카 공화국,2014,6608.825501,43.61,6.72,4.776261411,8.734873102,51,52,-3.230429856
도미니카 공화국,2015,6921.520594,43.01,7.61,11.02398411,3.067779811,55,53,-1.799062944
도미니카 공화국,2016,7280.88361,45.01,7.28,8.122949235,7.492882514,55,53,-1.076154826
도미니카 공화국,2017,7609.353275,46.51,5.83,-2.975632348,4.854286926,53,52,-0.16637921
도미니카 공화국,2018,8050.644076,47.9,5.86,8.525654374,6.054893507,48,53,-1.544613594
도미니카 공화국,2019,8282.117131,50.53,6.36,5.812880449,1.536547995,47,52,-1.335600001
도미니카 공화국,2020,7268.19691,69.1,8.9,-14.62252152,-30.3186933,52,51,-1.954475005
독일,2005,34507.36881,67.5,11.17,5.964245866,6.686140019,76,92,4.676615153
독일,2006,36323.44774,66.9,10.25,11.15258258,12.29084333,82,94,5.797963632
독일,2007,41587.2129,64.2,8.66,6.205506826,8.886480278,81,95,6.891593293
독일,2008,45427.15168,65.7,7.53,2.301757728,1.940781854,80,92,5.717116407
독일,2009,41485.90165,73.2,7.74,-9.692174183,-14.27874119,77,94,5.919578108
독일,2010,41531.9342,82,6.97,12.8678987,14.40774522,73,94,5.775955592
독일,2011,46644.77603,79.4,5.82,7.325651503,8.34992512,72,93,6.195148896
독일,2012,43858.36306,80.7,5.38,0.101706978,2.905708724,71,92,7.131450215
독일,2013,46285.76407,78.3,5.23,2.675547333,1.004463968,76,92,6.573832379
독일,2014,47959.99327,75.3,4.98,3.92523346,4.795580079,78,94,7.174730247
독일,2015,41086.72967,71.9,4.62,5.797714957,5.440742334,69,94,8.599537034
독일,2016,42107.51727,69,4.12,4.489999664,2.470000127,70,96,8.509883557
독일,2017,44542.2952,64.6,3.75,5.225380758,4.898994739,66,95,7.83692844
독일,2018,47950.18081,61.2,3.38,3.865393361,2.288585141,65,95,7.865774034
독일,2019,46794.89929,58.9,3.14,2.88966725,1.109595063,66,96,7.448014184
독일,2020,46208.42947,68.7,4.31,-8.587233756,-9.319060798,69,93,6.981214121
라트비아,2005,7594.902384,11.9,10.03,17.05520926,23.50455171,71,76,-11.67772242
라트비아,2006,9723.446902,10,7.03,21.87862089,7.542420102,73,79,-20.95754615
라트비아,2007,14113.52913,8.4,6.05,17.4461203,13.85969599,64,81,-20.69530083
라트비아,2008,16467.14369,18.5,7.74,-11.13970326,2.318819237,52,81,-12.50512362
라트비아,2009,12331.92855,36.7,17.52,-30.8944251,-12.87426998,55,79,7.796098722
라트비아,2010,11420.994,47.7,19.48,12.80594883,13.44398035,64,80,1.722691889
라트비아,2011,13338.96224,45.1,16.21,22.78036475,12.60364943,58,79,-3.434097298
라트비아,2012,13847.33794,42.4,15.05,5.247031623,9.497951584,61,80,-3.724985562
라트비아,2013,15007.49186,40.4,11.87,-0.127351229,0.659308622,65,81,-2.784966527
라트비아,2014,15721.45233,41.6,10.85,2.92867042,6.236145802,62,86,-1.691826357
라트비아,2015,13780.91355,37.1,9.87,1.649525067,2.965862818,60,81,-0.608853759
라트비아,2016,14322.02268,40.4,9.64,3.566047288,3.942775797,62,84,1.56400038
라트비아,2017,15656.34749,39,8.72,8.551613062,6.376988928,63,83,1.308258497
라트비아,2018,17856.30712,37.1,7.41,6.434304484,4.463836348,59,84,-0.204685624
라트비아,2019,17926.84159,36.7,6.31,3.010701291,2.09148172,60,84,-0.665205784
라트비아,2020,17726.25294,43.3,8.19,-2.464940996,-2.153327691,60,85,2.913316757
러시아,2005,5323.463083,14.8,7.12,16.59974964,6.500035403,12,51,11.04540057
러시아,2006,6920.189125,9.8,7.06,21.29991173,7.300046539,19,40,9.325459318
러시아,2007,9101.255049,7.2,6,26.19992002,6.299815805,19,43,5.554566422
러시아,2008,11635.27293,6.5,6.21,14.79994182,0.599852686,20,40,6.257977907
러시아,2009,8562.813277,8.3,8.3,-30.40007602,-4.700150122,17,41,4.12087479
러시아,2010,10674.99578,9,7.37,25.79971912,7.000254253,18,41,4.423334469
러시아,2011,14311.08432,9.5,6.54,20.30028168,0.300123459,17,40,4.754519891
러시아,2012,15420.87454,10.5,5.44,9.681343576,1.360421664,21,40,3.227927656
러시아,2013,15974.64463,11.3,5.46,3.539025298,4.561727799,22,40,1.45817187
러시아,2014,14095.64874,14.4,5.16,-7.260442493,0.510432046,15,38,2.792909282
러시아,2015,9313.013625,13.2,5.57,-25.03877488,3.673262303,14,32,4.970892652
러시아,2016,8704.898413,13,5.56,-3.672042601,3.168854896,15,37,1.916436367
