국가별,시점,신용등급점수
세르비아,2019,9.33
세르비아,2020,10
스리랑카,2005,7.5
스리랑카,2006,7.5
스리랑카,2007,7
스리랑카,2008,6.67
스리랑카,2009,6.4
스리랑카,2010,7
스리랑카,2011,7.33
스리랑카,2012,7
스리랑카,2013,7
스리랑카,2014,7
스리랑카,2015,7
스리랑카,2016,7
스리랑카,2017,7
스리랑카,2018,6
스리랑카,2019,6
스리랑카,2020,4.88
스웨덴,2005,20
스웨덴,2006,20
스웨덴,2007,20
스웨덴,2008,20
스웨덴,2009,20
스웨덴,2010,20
스웨덴,2011,20
스웨덴,2012,20
스웨덴,2013,20
스웨덴,2014,20
스웨덴,2015,20
스웨덴,2016,20
스웨덴,2017,20
스웨덴,2018,20
스웨덴,2019,20
스웨덴,2020,20
스위스,2005,20
스위스,2006,20
스위스,2007,20
스위스,2008,20
스위스,2009,20
스위스,2010,20
스위스,2011,20
스위스,2012,20
스위스,2013,20
스위스,2014,20
스위스,2015,20
스위스,2016,20
스위스,2017,20
스위스,2018,20
스위스,2019,20
스위스,2020,20
스페인,2005,20
스페인,2006,20
스페인,2007,20
스페인,2008,20
스페인,2009,19.33
스페인,2010,18.83
스페인,2011,17.4
스페인,2012,13.45
스페인,2013,11.33
스페인,2014,12.75
스페인,2015,13.5
스페인,2016,13
스페인,2017,13
스페인,2018,14
스페인,2019,15
스페인,2020,15
슬로바키아 공화국,2005,15
슬로바키아 공화국,2006,15.5
슬로바키아 공화국,2007,15
슬로바키아 공화국,2008,15.6
슬로바키아 공화국,2009,16
슬로바키아 공화국,2010,16
슬로바키아 공화국,2011,16
슬로바키아 공화국,2012,15
슬로바키아 공화국,2013,15
슬로바키아 공화국,2014,15
슬로바키아 공화국,2015,16
슬로바키아 공화국,2016,16
슬로바키아 공화국,2017,15
슬로바키아 공화국,2018,15
슬로바키아 공화국,2019,15
슬로바키아 공화국,2020,15.33
슬로베니아,2005,17
슬로베니아,2006,17.6
슬로베니아,2007,17.6
슬로베니아,2008,17.6
슬로베니아,2009,18
슬로베니아,2010,18
슬로베니아,2011,16.83
슬로베니아,2012,14.57
슬로베니아,2013,12.33
슬로베니아,2014,12.75
슬로베니아,2015,12.67
슬로베니아,2016,13.75
슬로베니아,2017,14.67
슬로베니아,2018,16
슬로베니아,2019,15
슬로베니아,2020,15
싱가포르,2005,20
싱가포르,2006,20
싱가포르,2007,20
싱가포르,2008,20
싱가포르,2009,20
싱가포르,2010,20
싱가포르,2011,20
싱가포르,2012,20
싱가포르,2013,20
싱가포르,2014,20
싱가포르,2015,20
싱가포르,2016,20
싱가포르,2017,20
싱가포르,2018,20
싱가포르,2019,20
싱가포르,2020,20
아르헨티나,2005,2.6
아르헨티나,2006,6.5
아르헨티나,2007,5
아르헨티나,2008,5.6
아르헨티나,2009,5.6
아르헨티나,2010,5.67
아르헨티나,2011,6
아르헨티나,2012,5.33
아르헨티나,2013,4.5
아르헨티나,2014,1.78
아르헨티나,2015,4
아르헨티나,2016,5.5
아르헨티나,2017,6
아르헨티나,2018,6.25
아르헨티나,2019,2
아르헨티나,2020,2.18
아이슬란드,2005,17
아이슬란드,2006,16.67
