국가별,시점,수출,수입
이탈리아,2014,530320,474252
이탈리아,2015,456084,410091
이탈리아,2016,462388,408241
이탈리아,2017,511753,457388
이탈리아,2018,550269,503929
이탈리아,2019,539708,475979
이탈리아,2020,495092,421828
라트비아,2000,1865,3183
라트비아,2001,2001,3504
라트비아,2002,2284,4053
라트비아,2003,2893,5242
라트비아,2004,3982,7048
라트비아,2005,5108,8592
라트비아,2006,5893,11431
라트비아,2007,7892,15182
라트비아,2008,9278,15775
라트비아,2009,7174,9346
라트비아,2010,8851,11143
라트비아,2011,11995,15441
라트비아,2012,12683,16078
라트비아,2013,13317,16781
라트비아,2014,13777,17129
라트비아,2015,11649,14093
라트비아,2016,11607,13737
라트비아,2017,13190,16056
라트비아,2018,15070,18616
라트비아,2019,14510,17809
라트비아,2020,15101,17264
리투아니아,2000,3548,5219
리투아니아,2001,4279,6060
리투아니아,2002,5232,7526
리투아니아,2003,6970,9669
리투아니아,2004,9307,12386
리투아니아,2005,11782,15511
리투아니아,2006,14153,19413
리투아니아,2007,17163,24445
리투아니아,2008,23770,31294
리투아니아,2009,16497,18341
리투아니아,2010,20726,23385
리투아니아,2011,28078,31810
리투아니아,2012,29625,31988
리투아니아,2013,32604,34814
리투아니아,2014,32346,34389
리투아니아,2015,25392,28154
리투아니아,2016,25009,27333
리투아니아,2017,29900,32258
리투아니아,2018,33337,36502
리투아니아,2019,33152,35760
리투아니아,2020,32768,33141
룩셈부르크,2000,7833,10707
룩셈부르크,2001,8202,11255
룩셈부르크,2002,8503,11610
룩셈부르크,2003,9981,13695
룩셈부르크,2004,12168,17011
룩셈부르크,2005,19068,22506
룩셈부르크,2006,22985,27115
룩셈부르크,2007,22949,28047
룩셈부르크,2008,25691,32169
룩셈부르크,2009,21321,25282
룩셈부르크,2010,18831,24793
룩셈부르크,2011,20849,28855
룩셈부르크,2012,18878,27325
룩셈부르크,2013,18442,26672
룩셈부르크,2014,15148,24063
룩셈부르크,2015,12948,19571
룩셈부르크,2016,13179,19517
룩셈부르크,2017,14285,21422
룩셈부르크,2018,15701,23546
룩셈부르크,2019,14831,22960
룩셈부르크,2020,13646,20930
네덜란드,2000,213424,198926
네덜란드,2001,216183,195571
네덜란드,2002,219976,194234
네덜란드,2003,264860,234023
네덜란드,2004,318075,284027
네덜란드,2005,349600,310382
네덜란드,2006,400670,358515
네덜란드,2007,472662,421094
네덜란드,2008,545562,494752
네덜란드,2009,431839,382407
네덜란드,2010,492703,439992
네덜란드,2011,569638,507870
네덜란드,2012,552581,500654
네덜란드,2013,575168,513101
네덜란드,2014,575720,508207
네덜란드,2015,464700,412694
네덜란드,2016,468172,408049
네덜란드,2017,527910,461906
네덜란드,2018,587895,521037
네덜란드,2019,576786,514851
네덜란드,2020,551303,484785
노르웨이,2000,60058,34391
노르웨이,2001,59216,32953
노르웨이,2002,59663,34873
노르웨이,2003,68321,40055
노르웨이,2004,82527,48534
노르웨이,2005,103751,55481
노르웨이,2006,122122,64278
노르웨이,2007,136371,80378
노르웨이,2008,171764,90293
노르웨이,2009,116778,68970
노르웨이,2010,130669,77326
노르웨이,2011,160305,90787
노르웨이,2012,160953,87308
노르웨이,2013,156022,89808
노르웨이,2014,144677,89460
노르웨이,2015,103809,76388
노르웨이,2016,89507,75002
노르웨이,2017,104448,82876
노르웨이,2018,123036,87431
노르웨이,2019,104004,86152
노르웨이,2020,82743,81352
폴란드,2000,31684,48970
폴란드,2001,36159,50378
폴란드,2002,41032,55141
폴란드,2003,53699,68153
폴란드,2004,74828,89362
폴란드,2005,89245,101399
폴란드,2006,110941,127260
폴란드,2007,140338,166047
폴란드,2008,170998,209330
폴란드,2009,136786,149723
폴란드,2010,159829,178149
폴란드,2011,188853,210824
폴란드,2012,185474,199235
폴란드,2013,205065,207701
폴란드,2014,220061,223564
폴란드,2015,199202,196548
폴란드,2016,203936,199623
폴란드,2017,234253,233704
폴란드,2018,263494,268880
폴란드,2019,266574,265260
폴란드,2020,270939,257064
포르투갈,2000,25089,42128
포르투갈,2001,24930,41665
포르투갈,2002,26897,42626
포르투갈,2003,33103,50328
포르투갈,2004,38452,61287
포르투갈,2005,38720,63879
포르투갈,2006,44782,70713
포르투갈,2007,52493,82280
포르투갈,2008,57377,94669
포르투갈,2009,44264,71781
포르투갈,2010,49404,77682
포르투갈,2011,59622,82948
포르투갈,2012,58115,72488
포르투갈,2013,62797,75727
포르투갈,2014,63833,78390
포르투갈,2015,55047,66914
포르투갈,2016,55354,67754
포르투갈,2017,62129,78762
포르투갈,2018,68361,89060
포르투갈,2019,67064,89539
포르투갈,2020,61510,77515
슬로바키아,2000,11889,-
슬로바키아,2001,12641,-
슬로바키아,2002,14478,-
슬로바키아,2003,21966,-
슬로바키아,2004,29215,27645
슬로바키아,2005,34229,31852
슬로바키아,2006,44535,41711
슬로바키아,2007,59013,58050
슬로바키아,2008,71307,70255
슬로바키아,2009,54206,55572
슬로바키아,2010,64231,65304
슬로바키아,2011,77202,78980
슬로바키아,2012,74832,79964
슬로바키아,2013,79136,85193
슬로바키아,2014,79385,85766
슬로바키아,2015,71454,74971
슬로바키아,2016,73245,77003
슬로바키아,2017,80013,83486
슬로바키아,2018,90678,93434
슬로바키아,2019,88736,89929
슬로바키아,2020,83272,86476
슬로베니아,2000,9492,10984
슬로베니아,2001,10347,11344
슬로베니아,2002,10962,11574
슬로베니아,2003,11285,12239
슬로베니아,2004,12783,14143
슬로베니아,2005,14397,15805
슬로베니아,2006,17004,18355
슬로베니아,2007,19629,21521
슬로베니아,2008,20042,23038
슬로베니아,2009,22646,38166
슬로베니아,2010,24716,26664
슬로베니아,2011,29242,31396
슬로베니아,2012,27080,28392
슬로베니아,2013,28629,29380
슬로베니아,2014,30522,30052
슬로베니아,2015,26587,25876
슬로베니아,2016,27658,26695
슬로베니아,2017,31894,31154
슬로베니아,2018,36488,36273
슬로베니아,2019,37543,37575
슬로베니아,2020,34300,32965
스페인,2000,113348,152901
스페인,2001,115177,153636
스페인,2002,123635,163672
스페인,2003,156032,208562
스페인,2004,182161,257678
스페인,2005,190843,287436
스페인,2006,213353,326051
스페인,2007,248918,385356
스페인,2008,276962,416373
스페인,2009,220452,290327
스페인,2010,246253,315522
스페인,2011,298523,362914
스페인,2012,286225,325844
스페인,2013,311633,333928
스페인,2014,323850,359132
스페인,2015,282330,312583
스페인,2016,287213,310615
스페인,2017,319442,351023
스페인,2018,345315,388721
스페인,2019,332965,372424
스페인,2020,306752,325193
스웨덴,2000,87946,73256
스웨덴,2001,78690,64389
스웨덴,2002,83225,67693
스웨덴,2003,102338,84357
스웨덴,2004,122571,100927
스웨덴,2005,131081,111083
스웨덴,2006,146946,128049
스웨덴,2007,169604,154052
스웨덴,2008,183770,168333
스웨덴,2009,130232,119605
스웨덴,2010,157394,149459
스웨덴,2011,188338,176682
스웨덴,2012,173163,164519
스웨덴,2013,167657,161114
스웨덴,2014,164733,161976
스웨덴,2015,140090,137980
스웨덴,2016,138849,139997
스웨덴,2017,152954,153863
스웨덴,2018,166766,169405
스웨덴,2019,161089,158835
스웨덴,2020,154297,148940
스위스,2000,80452,82461
스위스,2001,82077,84086
스위스,2002,91986,87345
스위스,2003,104954,100342
스위스,2004,123009,115976
스위스,2005,130905,126544
스위스,2006,147844,141430
스위스,2007,172060,161232
스위스,2008,200334,183192
스위스,2009,172850,155706
스위스,2010,195512,176305
스위스,2011,234866,208280
스위스,2012,312464,295961
스위스,2013,357851,321509
스위스,2014,311203,275742
스위스,2015,289820,253110
스위스,2016,302849,270068
스위스,2017,299559,269796
스위스,2018,310836,279600
스위스,2019,313913,277810
스위스,2020,319226,291721
영국,2000,281488,333896
영국,2001,270939,324926
영국,2002,278399,337949
영국,2003,305005,381754
영국,2004,345504,456569
영국,2005,380961,488959
영국,2006,450853,560523
영국,2007,442478,625864
영국,2008,464247,638779
영국,2009,353627,484216
영국,2010,406316,560366
영국,2011,474160,636190
영국,2012,467941,638419
영국,2013,470119,646342
영국,2014,473968,673186
영국,2015,427194,609711
영국,2016,394678,576539
영국,2017,422275,603489
영국,2018,453837,644517
영국,2019,443715,622640
영국,2020,381130,543961
유로지역,2000,911959,943539
유로지역,2001,941388,912500
유로지역,2002,1013755,933454
유로지역,2003,1186955,1122404
유로지역,2004,1423950,1350579
유로지역,2005,1536513,1536524
유로지역,2006,1738514,1780041
유로지역,2007,2062621,2071880
유로지역,2008,2309391,2401549
유로지역,2009,1795728,1778211
유로지역,2010,2048072,2066675
유로지역,2011,2431208,2461594
유로지역,2012,2415297,2312116
유로지역,2013,2519272,2318016
유로지역,2014,2576096,2336369
유로지역,2015,2265074,2001295
유로지역,2016,2267662,1973817
유로지역,2017,2480623,2214861
오세아니아,2000,,
오세아니아,2001,,
오세아니아,2002,,
오세아니아,2003,,
오세아니아,2004,,
오세아니아,2005,,
오세아니아,2006,,
오세아니아,2007,,
오세아니아,2008,,
오세아니아,2009,,
오세아니아,2010,,
오세아니아,2011,,
오세아니아,2012,,
오세아니아,2013,,
오세아니아,2014,,
오세아니아,2015,,
오세아니아,2016,,
오세아니아,2017,,
오세아니아,2018,,
오세아니아,2019,,
오세아니아,2020,,
오스트레일리아,2000,63807,71590
오스트레일리아,2001,63318,64310
오스트레일리아,2002,65020,73017
오스트레일리아,2003,70338,89049
오스트레일리아,2004,86565,109510
오스트레일리아,2005,106097,125107
오스트레일리아,2006,123437,139299
오스트레일리아,2007,141358,165366
오스트레일리아,2008,187257,200332
오스트레일리아,2009,154331,165433
오스트레일리아,2010,212634,201971
오스트레일리아,2011,270387,243380
오스트레일리아,2012,256413,260603
오스트레일리아,2013,252643,234275
오스트레일리아,2014,239975,214141
오스트레일리아,2015,187742,156872
오스트레일리아,2016,192489,146161
오스트레일리아,2017,231072,175698
오스트레일리아,2018,257174,176018
오스트레일리아,2019,271006,154043
오스트레일리아,2020,250570,146522
뉴질랜드,2000,13298,13906
뉴질랜드,2001,13729,13308
뉴질랜드,2002,14383,15047
뉴질랜드,2003,16526,18560
뉴질랜드,2004,20344,23194
뉴질랜드,2005,21728,26233
뉴질랜드,2006,22434,26430
뉴질랜드,2007,26622,30689
뉴질랜드,2008,30582,34374
뉴질랜드,2009,24921,25568
뉴질랜드,2010,31301,30635
뉴질랜드,2011,37669,37106
뉴질랜드,2012,37301,38253
뉴질랜드,2013,39445,39641
뉴질랜드,2014,41623,42519
뉴질랜드,2015,34354,36550
뉴질랜드,2016,33740,36063
뉴질랜드,2017,38063,40115
뉴질랜드,2018,39673,43790
뉴질랜드,2019,39516,42362
뉴질랜드,2020,38897,37135
