국가별,시점,외환보유액
프랑스,2011,171896
프랑스,2012,184522
프랑스,2013,144926
프랑스,2014,143449
프랑스,2015,138164
프랑스,2016,146771
프랑스,2017,156401
프랑스,2018,166628
프랑스,2019,188865
프랑스,2020,224503
독일,2000,87497
독일,2001,82132
독일,2002,89143
독일,2003,96835
독일,2004,97170
독일,2005,101676
독일,2006,111637
독일,2007,136234
독일,2008,138043
독일,2009,180848
독일,2010,216497
독일,2011,238854
독일,2012,248856
독일,2013,198208
독일,2014,192750
독일,2015,173682
독일,2016,185286
독일,2017,200092
독일,2018,198228
독일,2019,223833
독일,2020,268776
그리스,2000,14178
그리스,2001,6244
그리스,2002,9432
그리스,2003,5801
그리스,2004,2708
그리스,2005,2287
그리스,2006,2850
그리스,2007,3658
그리스,2008,3472
그리스,2009,5546
그리스,2010,6369
그리스,2011,6900
그리스,2012,7255
그리스,2013,5752
그리스,2014,6212
그리스,2015,6026
그리스,2016,6893
그리스,2017,7807
그리스,2018,7585
그리스,2019,8501
그리스,2020,11944
헝가리,2000,11218
헝가리,2001,10755
헝가리,2002,10383
헝가리,2003,12793
헝가리,2004,15965
헝가리,2005,18603
헝가리,2006,21590
헝가리,2007,24052
헝가리,2008,33874
헝가리,2009,44183
헝가리,2010,44988
헝가리,2011,48835
헝가리,2012,44670
헝가리,2013,46508
헝가리,2014,42019
헝가리,2015,33124
헝가리,2016,25824
헝가리,2017,28002
헝가리,2018,31361
헝가리,2019,31831
헝가리,2020,41353
아이슬란드,2000,405
아이슬란드,2001,355
아이슬란드,2002,462
아이슬란드,2003,819
아이슬란드,2004,1074
아이슬란드,2005,1069
아이슬란드,2006,2342
아이슬란드,2007,2632
아이슬란드,2008,3570
아이슬란드,2009,3883
아이슬란드,2010,5790
아이슬란드,2011,8550
아이슬란드,2012,4192
아이슬란드,2013,4237
아이슬란드,2014,4176
아이슬란드,2015,5041
아이슬란드,2016,7226
아이슬란드,2017,6567
아이슬란드,2018,6322
아이슬란드,2019,6782
아이슬란드,2020,6419
아일랜드,2000,5408
아일랜드,2001,5635
아일랜드,2002,5475
아일랜드,2003,4152
아일랜드,2004,2908
아일랜드,2005,869
아일랜드,2006,832
아일랜드,2007,926
아일랜드,2008,1038
아일랜드,2009,2154
아일랜드,2010,2115
아일랜드,2011,1703
