국가별,시점,국내총생산
오스트레일리아,2014,62511
오스트레일리아,2015,56756
오스트레일리아,2016,49971
오스트레일리아,2017,54028
오스트레일리아,2018,57355
오스트레일리아,2019,55057
오스트레일리아,2020,51812
뉴질랜드,2000,13641
뉴질랜드,2001,13883
뉴질랜드,2002,16874
뉴질랜드,2003,21914
뉴질랜드,2004,25420
뉴질랜드,2005,27751
뉴질랜드,2006,26655
뉴질랜드,2007,32480
뉴질랜드,2008,31253
뉴질랜드,2009,28209
뉴질랜드,2010,33677
뉴질랜드,2011,38388
뉴질랜드,2012,39973
뉴질랜드,2013,42977
뉴질랜드,2014,44573
뉴질랜드,2015,38631
뉴질랜드,2016,40080
뉴질랜드,2017,42993
뉴질랜드,2018,43306
뉴질랜드,2019,41999
뉴질랜드,2020,41792
